Number,Country,Name,Financing,Status,Approval
CO-S1007,Colombia,"Financial Inclusion for Microentrepreneur Women in Colombia","335,000",Closed,"Nov. 1, 2013"
CO-L1177,Colombia,"Financial Inclusion for Microentrepreneur Women in Colombia","1,140,000",Closed,"Nov. 1, 2013"
CO-Q0010,Colombia,"Velum Early Stage Fund I","12,572,822",Implementation,"Oct. 23, 2013"
CO-M1093,Colombia,"Velum Early Stage Fund I","455,000",Closed,"Oct. 23, 2013"
CO-T1344,Colombia,"Development of an ESCO Market-Project Preparation Grant","200,000",Closed,"Sep. 16, 2013"
CO-M1084,Colombia,"Promoting Shared Value Business Approaches with Poor and Low-Income Populations","2,721,000",Closed,"Jun. 12, 2013"
CO-M1091,Colombia,"Social Innovation Model for Poverty Alleviation","4,700,000",Closed,"Jan. 30, 2013"
CO-M1088,Colombia,"Recovery of Local Economic Development in Post-conflict Regions","5,023,910",Closed,"Nov. 28, 2012"
CO-M1080,Colombia,"Mobile Saving Accounts for low-income households","1,521,200",Cancelled,"Jul. 6, 2012"
CO-M1085,Colombia,"INCLUSIVE FINANCIAL SERVICES IN A RURAL ECOSYSTEM","1,401,313",Closed,"Jun. 22, 2012"
CO-L1175,Colombia,"New Roads for Rural Microfinance with Nonbank Correspondents","1,340,000",Closed,"Feb. 9, 2012"
CO-S1005,Colombia,"New Roads for Rural Microfinance with Nonbank Correspondents","630,000",Closed,"Feb. 9, 2012"
CO-T1295,Colombia,"SAVINGS PRODUCTS FOR LOW INCOME WOMEN","200,000",Closed,"Feb. 6, 2012"
CO-M1083,Colombia,"Savings Products for Low Income Women","211,000",Closed,"Feb. 6, 2012"
CO-M1059,Colombia,"Development of a Business Formalization Program in Colombia","2,660,000",Closed,"Nov. 28, 2011"
CO-M1079,Colombia,"INCOME GENERATION AND RURAL FINANCE THROUGH COMMUNITY GROUPS","1,576,000",Closed,"Oct. 26, 2011"
CO-T1279,Colombia,"INCOME GENERATION AND RURAL FINANCE THROUGH COMMUNITY GROUPS","1,000,000",Closed,"Oct. 26, 2011"
CO-M1071,Colombia,"Development of the Colombian venture capital industry","1,455,000",Closed,"Sep. 9, 2011"
CO-M1076,Colombia,"Access to early childhood education","1,626,185",Closed,"Jul. 13, 2011"
CO-M1040,Colombia,"Support to Productive and Social Iniciatives trough Temporary Work","1,521,875",Cancelled,"Jul. 1, 2011"
CO-M1077,Colombia,"Inversor Fund","565,000",Closed,"May. 4, 2011"
CO-Q0008,Colombia,"Inversor Fund","9,423,475",Implementation,"May. 4, 2011"
CO-M1072,Colombia,"Strengthening the Fish & Farm Coop of Old Providence","250,000",Closed,"Oct. 7, 2010"
CO-M1058,Colombia,"Support to the Social Financing Program of Empresas Publicas de Medellin","1,708,037",Closed,"Oct. 5, 2010"
CO-M1069,Colombia,"Coffee Trail","1,306,785",Closed,"Sep. 7, 2010"
CO-M1075,Colombia,"¿TURISTIC: A Window on Tolima for the World¿","476,602",Closed,"Jul. 16, 2010"
CO-M1064,Colombia,"Leveraging Angel Investing in Colombia","555,043",Closed,"Jun. 4, 2010"
CO-M1067,Colombia,"Microenterprise productivity improvement througt quality systems NTC 6001","290,500",Closed,"Jan. 1, 2010"
CO-M1066,Colombia,"Cultural Industries in the city of Cartagena de Indias","442,250",Closed,"Dec. 4, 2009"
CO-M1062,Colombia,"Developing Cultural Industries in Popayan and Northern Cauca","1,000,000",Closed,"Nov. 20, 2009"
CO-M1057,Colombia,"Opportunity International Colombia Finance Co. Start Up","100,000",Closed,"Nov. 4, 2009"
CO-Q0007,Colombia,"Opportunity International Colombia Finance Co. Start Up","8,500,000",Closed,"Nov. 4, 2009"
CO-M1060,Colombia,"Making Medellín and Antioquia More Competitive through Linkages with Business Ev","2,431,820",Closed,"Sep. 22, 2009"
CO-M1053,Colombia,"Venture Capital Fund - Progresa Capital","420,000",Closed,"Jul. 22, 2009"
CO-Q0006,Colombia,"Venture Capital Fund - Progresa Capital","19,932,202",Implementation,"Jul. 22, 2009"
CO-M1054,Colombia,"Innovation and competitiveness through Intellectual Property","2,644,476",Closed,"Jul. 22, 2009"
CO-M1052,Colombia,"Development of a Business Model for the Economic Consolidation of the Recyclers","991,873",Closed,"Mar. 24, 2009"
CO-M1056,Colombia,"Innovation&design platform for the textile, apparel and fashion sector in Medell","1,674,200",Closed,"Mar. 24, 2009"
CO-T1203,Colombia,"Develpment of a Business Model for the Economical Consolidation of the Wastepick","836,155",Closed,"Mar. 24, 2009"
CO-M1061,Colombia,"Development of a business model for the economic consolidation of the recyclers","80,000",Cancelled,"Mar. 24, 2009"
CO-M1051,Colombia,"Increasing the Competitiveness of Colombian Coffee","3,337,356",Closed,"Mar. 11, 2009"
CO-M1055,Colombia,"Implementation of ICT in electronic commerce of supplies","887,550",Closed,"Feb. 26, 2009"
CO-Q0005,Colombia,"Support for Entrepreneurs and Mobilization of Capital through Angels Investors","2,000,000",Cancelled,"Feb. 18, 2009"
CO-M1041,Colombia,"Support for Entrepreneurs and Mobilization of Capital through Angels Investors","931,650",Closed,"Feb. 18, 2009"
