Number,Country,Name,Financing,Status,Approval
CO-M1002,Colombia,"Program to Support Clusters Competitiveness","5,980,000",Closed,"Aug. 4, 2004"
CO-M1001,Colombia,"Promotion of Youth Entrepreneurship in Colombia","2,100,000",Closed,"Jan. 21, 2004"
TC0303037,Colombia,"Merchants Chain in Aguablanca, Cali","292,000",Closed,"Dec. 10, 2003"
TC0303022,Colombia,"Entrepreneurs Opportunities in Oil Lube Recycling","510,000",Closed,"Sep. 26, 2003"
TC0204002,Colombia,"Strengthening of the Artisanal Fisheries Production Chain in Chocó","270,000",Closed,"Jul. 9, 2003"
TC0106021,Colombia,"Jewerly Sector Competitiveness Program","717,000",Closed,"Feb. 21, 2003"
TC0210074,Colombia,"Strengthening of Airport Security","835,000",Closed,"Jan. 24, 2003"
TC0106010,Colombia,"Support Business Performance through the Use of Information & Co.Technologies","1,970,000",Closed,"Aug. 7, 2002"
TC0108007,Colombia,"Promotion of Cooperative Ventures between Firms","1,829,900",Closed,"May. 1, 2002"
TC0106004,Colombia,"Business Linkages in the Garment Industry","1,850,000",Closed,"May. 1, 2002"
TC0109022,Colombia,"Strengthening Capital Markets","2,036,600",Closed,"Feb. 20, 2002"
TC0103004,Colombia,"Institutional Strengthening of Finamerica, S.A.","500,000",Closed,"Jan. 18, 2002"
CO-L1212,Colombia,"Production & Commercialization Microproducers, Tunia","240,000",Closed,"Dec. 21, 2001"
SP9912021,Colombia,"Production & Commercialization Microproducers, Tunia","195,000",Closed,"Dec. 21, 2001"
TC0111003,Colombia,"Urban Production & Neighborhood Dev. in Bogota","47,300",Closed,"Nov. 21, 2001"
TC0103005,Colombia,"Inst.strengthening Financiera Compartir","350,000",Closed,"Aug. 9, 2001"
TC0006003,Colombia,"Promotion Foreign Investment","1,500,000",Closed,"Apr. 25, 2001"
TC0005006,Colombia,"Environmental Mgm. Clean Technologies","2,371,000",Closed,"Dec. 13, 2000"
TC0003033,Colombia,"Internet Based Export Information System","3,000,000",Closed,"Dec. 6, 2000"
TC0010027,Colombia,"Potable Water Bucaramanga","1,500,000",Closed,"Nov. 29, 2000"
TC9911104,Colombia,"Agrobusiness ""uva Isabella"" Project","1,851,972",Closed,"Nov. 1, 2000"
TC9905047,Colombia,"Streamline Administrative Process Private Sector","3,100,000",Closed,"Oct. 25, 2000"
TC0003003,Colombia,"Operational Efficiency Improv: (awwb)","840,000",Closed,"Jun. 15, 2000"
TC9904001,Colombia,"Trading Co for Microentepre. Atlantico","1,570,000",Closed,"Jun. 14, 2000"
TC9904049,Colombia,"Agricultural Assistance Valle del Cauca","1,038,000",Closed,"Nov. 10, 1999"
TC9906026,Colombia,"Strengthening Small & Medium Enterprises","2,445,000",Closed,"Nov. 10, 1999"
TC9907024,Colombia,"Accounting & Fin. Homogenitation for Inr","580,000",Closed,"Sep. 17, 1999"
TC9812008,Colombia,"Support for Artesanias de Colombia s.a.","730,000",Closed,"Sep. 10, 1999"
TC9305261,Colombia,"Subsidize Health Programs","1,040,940",Closed,"May. 12, 1999"
SP9803067,Colombia,"Recycling & Environment Improvement Prog","427,000",Closed,"Apr. 6, 1999"
CO-L1210,Colombia,"Recycling & Environment Improvement Prog","420,000",Closed,"Apr. 6, 1999"
SP9803364,Colombia,"Support to Corporacion Minuto de Dios","400,000",Closed,"Dec. 14, 1998"
CO-L1211,Colombia,"Support to Corporacion Minuto de Dios","300,000",Closed,"Dec. 14, 1998"
TC9308158,Colombia,"Strengthening of Credit Union System","1,139,000",Closed,"Dec. 7, 1998"
