MPIO_CDPMP,north,south,east,west
18001,0,0.264823321683216,0,0.2860863289238961
18029,0,0.32892385096023413,0,0.3235407838101369
18094,0,0.2953461979361197,0,0.32276865783542197
18247,0,0.25962821902451877,0,0.24398513823759385
18256,0,0.28098052832214016,0,0.24861935944275443
18410,0,0.31970178468177995,0,0.24881397581185016
18460,0,0.3389056187559757,0,0.26625568305006725
18479,0,0.30984756895182264,0,0.29944288652705553
18610,0,0.3194752912374855,0,0.3498534634952885
18860,0,0.34940722774665717,0,0.2940384689215229
18150,0,0.4002671648216244,0,0.13747801960640568
18753,0,0.2871221812545413,0,0.13639427428072337
18756,0,0.4539324109137666,0,0.004748539152023655
18785,0,0.3681018294680238,0,0.2953504989570935
18205,0,0.34960754961172485,0,0.3315680374033028
18592,0,0.2316459732931702,0,0.2300177155794745
19001,0,0.17597002950331708,0,0.4055505749253958
19022,0,0.24474223440189874,0,0.43363395267142374
19050,0,0.19347678970414883,0,0.4831210362240865
19075,0,0.22355557972506648,0,0.47684150810976017
19100,0,0.2519345262923329,0,0.44847640076800915
19110,0,0.10535948746158878,0,0.41561285769299705
19130,0,0.15488014402364406,0,0.41819901632811757
19137,0,0.13432973570033835,0,0.3908238423029151
19142,0,0.10535647548326356,0,0.37948336406339694
19212,0,0.09418948263099472,0,0.36136872777305656
19290,0,0.27153792520829245,0,0.4628049543651903
19300,0,0.0932504425315075,0,0.3824834592189352
19355,0,0.17260627936652453,0,0.3530454059294024
19364,0,0.1294746808037548,0,0.373110940286371
19392,0,0.21092165107132899,0,0.4275475269263411
19397,0,0.22734297069161025,0,0.42483464729882775
19450,0,0.25932826520212354,0,0.47358136614450624
19455,0,0.08294006632610643,0,0.3621849430474016
19473,0,0.13378409328960708,0,0.42392816437724734
19513,0,0.08706009812545396,0,0.3759993109691346
19517,0,0.14372956448248264,0,0.3364100980334133
19532,0,0.21575534424130585,0,0.4594037415657004
19533,0,0.33821318600644495,0,0.37244333604027613
19548,0,0.14611890120011847,0,0.4024044020829645
19573,0,0.078207107175366955,0,0.38550159203398826
19585,0,0.19932536390184719,0,0.3800343505421403
19622,0,0.20312501367380156,0,0.4241552595240787
19693,0,0.25165048265272644,0,0.41994816347874986
19698,0,0.11291599711327673,0,0.39477807396565356
19701,0,0.2929976361946128,0,0.39940445651991174
19743,0,0.15388630160630484,0,0.37765561782616447
19760,0,0.20546834149985077,0,0.407806728074891
19780,0,0.11876949403329802,0,0.4233343414706172
19785,0,0.22687547167260014,0,0.44230098506009535
19807,0,0.18852260464311138,0,0.4192541817458057
19821,0,0.11398525564098172,0,0.3606371728431036
19824,0,0.17193714709013538,0,0.3822669444236756
19256,0,0.1682495400142352,0,0.4532999641554482
19318,0,0.18315602777311082,0,0.5325066939908331
19418,0,0.11081671351965744,0,0.4779508305955583
19809,0,0.14796124989854298,0,0.5094900293095829
19845,0,0.08879436919584074,0,0.3908168464156771
76001,0,0.061935887195653565,0,0.40376484901414716
76036,0.025509843838799007,0,0,0.35617493230857333
