"codmpio","Petro","Duque","nomark","null","blank","vtotal","diff_top2","Duquep","Petrop","diff_top2p"
15232,1454,651,8,58,52,2223,-803,0.292847503373819,0.654071075123707,-0.361223571749888
15236,98,893,4,9,15,1019,795,0.876349362119725,0.0961727183513248,0.7801766437684
15238,30581,23538,32,963,2651,57765,-7043,0.407478576992989,0.529403618107851,-0.121925041114862
15244,230,1770,2,14,50,2066,1540,0.856727976766699,0.111326234269119,0.74540174249758
15248,131,1195,3,4,18,1351,1064,0.884529977794226,0.0969652109548483,0.787564766839378
15272,1454,1406,6,44,124,3034,-48,0.463414634146341,0.479235332893869,-0.015820698747528
15276,598,1263,6,14,49,1930,665,0.65440414507772,0.309844559585492,0.344559585492228
15293,547,1212,2,45,34,1840,665,0.658695652173913,0.297282608695652,0.361413043478261
15296,546,1640,12,24,54,2276,1094,0.720562390158172,0.239894551845343,0.48066783831283
15299,2693,3923,6,95,267,6984,1230,0.561712485681558,0.385595647193585,0.176116838487972
15317,108,834,2,3,13,960,726,0.86875,0.1125,0.75625
15322,1818,2835,9,89,177,4928,1017,0.575284090909091,0.368912337662338,0.206371753246753
15325,324,1786,7,12,41,2170,1462,0.823041474654378,0.149308755760369,0.673732718894009
15332,531,1176,4,17,30,1758,645,0.668941979522184,0.302047781569966,0.366894197952218
