id_electoral,ano,tipo_eleccion,fecha_eleccion,coddpto94,coddpto,departamento94,departamento,codmpio94,codmpio,municipio,circunscripcion,codigo_partido,codigo_lista,primer_apellido,segundo_apellido,nombres,votos,curules,codigo_partido_old
419940001,1994,Gobernación,Octubre 30,5,5,ANTIOQUIA,ANTIOQUIA,5030,5030,AMAGA,Departamental,,999,VOTOS EN BLANCO,,,85,0,
419940001,1994,Gobernación,Octubre 30,5,5,ANTIOQUIA,ANTIOQUIA,5031,5031,AMALFI,Departamental,18480001,2,URIBE,VELEZ,ALVARO,2090,1,1
419940001,1994,Gobernación,Octubre 30,5,5,ANTIOQUIA,ANTIOQUIA,5031,5031,AMALFI,Departamental,18480001,3,HENRIQUEZ,GALLO,JAIME,67,0,1
419940001,1994,Gobernación,Octubre 30,5,5,ANTIOQUIA,ANTIOQUIA,5031,5031,AMALFI,Departamental,19940026,1,MESA,RAMIREZ,JORGE,52,0,45
419940001,1994,Gobernación,Octubre 30,5,5,ANTIOQUIA,ANTIOQUIA,5031,5031,AMALFI,Departamental,19949998,4,NUNEZ,LAPEIRA,ALFONSO,801,0,98
419940001,1994,Gobernación,Octubre 30,5,5,ANTIOQUIA,ANTIOQUIA,5031,5031,AMALFI,Departamental,,998,VOTOS NULOS,,,1132,0,
419940001,1994,Gobernación,Octubre 30,5,5,ANTIOQUIA,ANTIOQUIA,5031,5031,AMALFI,Departamental,,999,VOTOS EN BLANCO,,,81,0,
419940001,1994,Gobernación,Octubre 30,5,5,ANTIOQUIA,ANTIOQUIA,5034,5034,ANDES,Departamental,18480001,2,URIBE,VELEZ,ALVARO,2967,1,1
419940001,1994,Gobernación,Octubre 30,5,5,ANTIOQUIA,ANTIOQUIA,5034,5034,ANDES,Departamental,18480001,3,HENRIQUEZ,GALLO,JAIME,161,0,1
419940001,1994,Gobernación,Octubre 30,5,5,ANTIOQUIA,ANTIOQUIA,5034,5034,ANDES,Departamental,19940026,1,MESA,RAMIREZ,JORGE,405,0,45
