MPIO_CDPMP,AREA,n,total.len,total.roads,total.major,m_per_m2_all,m_per_m2_roads,m_per_m2_major
86865,815161562.52,540,417185.8121009411,411038.4013702582,540,5.117829781022157e-4,5.042416378166425e-4,6.624453664505938e-7
86885,1396972129.75,484,324103.5140764426,314744.83962451864,484,2.3200428066839362e-4,2.2530502428909938e-4,3.4646360488710384e-7
86569,926465992.679,318,295145.93365542963,295145.93365542963,318,3.185717943105238e-4,3.185717943105238e-4,3.4323979780462375e-7
86568,2819154804.78,1180,640525.4414436388,635474.7906707374,1180,2.2720477795600295e-4,2.2541323009054418e-4,4.185651664106059e-7
86571,4576591559.14,414,667208.3409298547,492454.8395380201,414,1.4578717202704268e-4,1.07602968972516e-4,9.046033377682405e-8
86573,10906876814.5,355,176476.5821462382,157527.90354925313,355,1.6180303963057857e-5,1.444298915523001e-5,3.254827262081571e-8
52683,101612514.342,465,221598.34740220648,221415.2989263377,465,0.002180817479393994,0.0021790160430546403,4.576207989844015e-6
52685,65164514.3918,115,84246.025172251,84246.025172251,115,0.0012928205781711792,0.0012928205781711792,1.764764167635247e-6
52687,249143589.159,268,303029.92547441414,303029.92547441414,268,0.0012162862648696315,0.0012162862648696315,1.0756849128835744e-6
52560,388299557.59,143,146391.60077356643,146391.60077356643,143,3.770068698562342e-4,3.770068698562342e-4,3.6827237426572523e-7
52693,111859643.879,174,160476.8907947521,160476.8907947521,174,0.0014346272277457096,0.0014346272277457096,1.5555207755552846e-6
52565,39947620.8759,79,85173.45321458999,85173.45321458999,79,0.002132128305692775,0.002132128305692775,1.9775896102904067e-6
52694,55647276.5665,88,80741.22639512562,80728.93659278165,88,0.0014509465939206866,0.0014507257421000359,1.5813891609742593e-6
52573,350143976.123,180,127349.73739135546,122391.18220513583,180,3.6370677799871535e-4,3.4954530293601784e-4,5.140742445238266e-7
52699,540632613.852,142,220727.0887619802,220085.511153773,142,4.082755703347283e-4,4.07088853899632e-4,2.6265526045173623e-7
52585,129659798.373,315,233159.09748185644,233159.09748185644,315,0.0017982373905218788,0.0017982373905218788,2.4294345969428465e-6
52678,605043944.86,425,378317.8188297251,378317.8188297251,425,6.252732913759898e-4,6.252732913759898e-4,7.024283171668464e-7
52207,119353635.87,218,142132.86344741142,142132.86344741142,218,0.0011908549112171376,0.0011908549112171376,1.8265048937214248e-6
52210,43209045.9399,148,122031.17954347678,122031.17954347678,148,0.002824204443514246,0.002824204443514246,3.425208698332637e-6
52215,304634461.361,160,154685.6568294149,138595.94868026106,160,5.077746494547386e-4,4.5495820814579855e-4,5.252196330158317e-7
52001,1099411433.62,6649,1625228.7305175823,1615284.9566450163,6649,0.0014782716286351864,0.0014692269947806662,6.0477813825412316e-6
52019,38610087.3863,101,84202.83246055599,84202.83246055599,101,0.002180850605648555,0.002180850605648555,2.615896695324181e-6
52022,47640548.4446,125,78716.2388552339,78716.2388552339,125,0.0016522949761330107,0.0016522949761330107,2.6238153019031545e-6
52224,57118591.7764,139,122519.19286843226,122519.19286843226,139,0.0021449967350044893,0.0021449967350044893,2.4335333851390815e-6
52036,68906361.9644,169,116188.03938123865,116188.03938123865,169,0.0016861728883795434,0.0016861728883795434,2.4526037245633824e-6
52051,60185764.637,98,100948.34483740975,100948.34483740975,98,0.0016772794272243974,0.0016772794272243974,1.6282920154137776e-6
