"MPIO_CDPMP","discap4t5","disbog4t5","eCDF_4t5","el_c4t5","em_c4t5","cs_c4t5","cw_c4t5","FID_4t5"
"05001",0,264.339019775391,0.463458110516934,0.17379679144385,0,0,0.27807486631016,282
"05002",58.2008743286133,209.005447387695,0.327094474153298,0.122660427807487,0,0,0.196256684491979,305
"05004",63.8546333312988,326.940795898438,0.589126559714795,0.220922459893048,0,0,0.353475935828877,304
"05021",61.1142158508301,241.82600402832,0.407308377896613,0.15274064171123,0,0,0.244385026737968,303
"05030",29.8788566589355,247.85627746582,0.425133689839572,0.15942513368984,0,0,0.255080213903743,302
"05031",105.130867004395,299.728210449219,0.549019607843137,0.205882352941176,0,0,0.329411764705882,301
"05034",76.3103790283203,239.198257446289,0.403743315508021,0.151403743315508,0,0,0.242245989304813,300
"05036",19.2576770782471,257.582244873047,0.448306595365419,0.168114973262032,0,0,0.268983957219251,299
"05038",72.6895294189453,301.724731445312,0.551693404634581,0.206885026737968,0,0,0.331016042780749,298
"05040",117.609687805176,329.563659667969,0.594474153297683,0.222927807486631,0,0,0.35668449197861,297
"05042",42.0737800598145,306.244720458984,0.560606060606061,0.210227272727273,0,0,0.336363636363636,296
"05044",29.0991840362549,285.700256347656,0.512477718360071,0.192179144385027,0,0,0.307486631016043,295
"05045",209.224334716797,472.950897216797,0.762032085561497,0.285762032085562,0,0,0.457219251336898,404
"05051",269.674377441406,526.132934570312,0.827094474153298,0.310160427807487,0,0,0.496256684491979,294
"05055",92.3186340332031,173.791244506836,0.25222816399287,0.0945855614973262,0,0,0.151336898395722,293
"05059",21.4147357940674,266.160552978516,0.468805704099822,0.175802139037433,0,0,0.281283422459893,292
"05079",40.0173225402832,259.876953125,0.451871657754011,0.169451871657754,0,0,0.271122994652406,291
"05086",38.4839134216309,294.304534912109,0.536541889483066,0.20120320855615,0,0,0.32192513368984,290
"05088",11.4078960418701,267.415771484375,0.473262032085562,0.177473262032086,0,0,0.283957219251337,289
"05091",72.2875289916992,248.967926025391,0.43048128342246,0.161430481283422,0,0,0.258288770053476,288
"05093",33.6572685241699,279.122802734375,0.501782531194296,0.188168449197861,0,0,0.301069518716578,287
"05101",61.5926818847656,256.47705078125,0.445632798573975,0.167112299465241,0,0,0.267379679144385,283
"05107",91.7688827514648,337.512298583984,0.606060606060606,0.227272727272727,0,0,0.363636363636364,284
"05113",64.9544906616211,328.099090576172,0.591800356506239,0.22192513368984,0,0,0.355080213903743,285
"05120",153.962219238281,372.009368896484,0.649732620320856,0.243649732620321,0,0,0.389839572192513,286
"05125",37.7952842712402,298.101654052734,0.545454545454545,0.204545454545455,0,0,0.327272727272727,351
"05129",24.818962097168,244.527633666992,0.417112299465241,0.156417112299465,0,0,0.250267379679144,350
"05134",94.0010604858398,319.755401611328,0.57843137254902,0.216911764705882,0,0,0.347058823529412,349
"05138",76.8568649291992,341.110229492188,0.612299465240642,0.229612299465241,0,0,0.367379679144385,348
"05142",99.3229217529297,224.662170410156,0.373440285204991,0.140040106951872,0,0,0.224064171122995,347
"05145",81.2732620239258,203.388473510742,0.316399286987522,0.118649732620321,0,0,0.189839572192513,346
"05147",204.099182128906,468.302734375,0.757575757575758,0.284090909090909,0,0,0.454545454545455,345
"05148",49.756965637207,216.316162109375,0.347593582887701,0.130347593582888,0,0,0.20855614973262,344
