"MPIO_CDPMP","REGION","CÓDIGO DANE DEL DEPARTAMENTO","DEPARTAMENTO","mpio","MUNICIPIO","cdir6t9","el_t6t9","em_t6t9","cs_t6t9","cw_t6t9","FID_6t9"
"08436","Región Caribe",8,"Atlántico",8.436,"Manatí","North",0.25,0.222,0.333,0.1,474
"08520","Región Caribe",8,"Atlántico",8.52,"Palmar de Varela","North",0.25,0.222,0.333,0.1,475
"08549","Región Caribe",8,"Atlántico",8.549,"Piojó","North",0.25,0.222,0.333,0.1,476
"08558","Región Caribe",8,"Atlántico",8.558,"Polonuevo","North",0.25,0.222,0.333,0.1,477
"08560","Región Caribe",8,"Atlántico",8.56,"Ponedera","North",0.25,0.222,0.333,0.1,478
"08573","Región Caribe",8,"Atlántico",8.573,"Puerto Colombia","North",0.25,0.222,0.333,0.1,479
"08606","Región Caribe",8,"Atlántico",8.606,"Repelón","North",0.25,0.222,0.333,0.1,480
"08634","Región Caribe",8,"Atlántico",8.634,"Sabanagrande","North",0.25,0.222,0.333,0.1,481
"08638","Región Caribe",8,"Atlántico",8.638,"Sabanalarga","North",0.25,0.222,0.333,0.1,482
"08675","Región Caribe",8,"Atlántico",8.675,"Santa Lucía","North",0.25,0.222,0.333,0.1,483
"08685","Región Caribe",8,"Atlántico",8.685,"Santo Tomás","North",0.25,0.222,0.333,0.1,484
"08758","Región Caribe",8,"Atlántico",8.758,"Soledad","North",0.25,0.222,0.333,0.1,485
"08770","Región Caribe",8,"Atlántico",8.77,"Suan","North",0.25,0.222,0.333,0.1,486
"08832","Región Caribe",8,"Atlántico",8.832,"Tubará","North",0.25,0.222,0.333,0.1,487
"08849","Región Caribe",8,"Atlántico",8.849,"Usiacurí","North",0.25,0.222,0.333,0.1,488
"11001","Región Centro Oriente",11,"Bogotá D.C.",11.001,"Bogotá D.C.","East",0.125,0,0.111,0.3,908
"13001","Región Caribe",13,"Bolívar",13.001,"Cartagena","North",0.25,0.222,0.333,0.1,489
"13006","Región Caribe",13,"Bolívar",13.006,"Achí","North",0.25,0.222,0.333,0.1,490
"13030","Región Caribe",13,"Bolívar",13.03,"Altos del Rosario","North",0.25,0.222,0.333,0.1,491
"13042","Región Caribe",13,"Bolívar",13.042,"Arenal","North",0.25,0.222,0.333,0.1,492
"13052","Región Caribe",13,"Bolívar",13.052,"Arjona","North",0.25,0.222,0.333,0.1,493
"13062","Región Caribe",13,"Bolívar",13.062,"Arroyohondo","North",0.25,0.222,0.333,0.1,494
"13074","Región Caribe",13,"Bolívar",13.074,"Barranco de Loba","North",0.25,0.222,0.333,0.1,495
"13140","Región Caribe",13,"Bolívar",13.14,"Calamar","North",0.25,0.222,0.333,0.1,496
"13160","Región Caribe",13,"Bolívar",13.16,"Cantagallo","North",0.25,0.222,0.333,0.1,497
"13188","Región Caribe",13,"Bolívar",13.188,"Cicuco","North",0.25,0.222,0.333,0.1,498
"13212","Región Caribe",13,"Bolívar",13.212,"Córdoba","North",0.25,0.222,0.333,0.1,499
"13222","Región Caribe",13,"Bolívar",13.222,"Clemencia","North",0.25,0.222,0.333,0.1,500
"13244","Región Caribe",13,"Bolívar",13.244,"El Carmen de Bolívar","North",0.25,0.222,0.333,0.1,501
"13248","Región Caribe",13,"Bolívar",13.248,"El Guamo","North",0.25,0.222,0.333,0.1,502
"13268","Región Caribe",13,"Bolívar",13.268,"El Peñón","North",0.25,0.222,0.333,0.1,503
"13300","Región Caribe",13,"Bolívar",13.3,"Hatillo de Loba","North",0.25,0.222,0.333,0.1,1108
"13430","Región Caribe",13,"Bolívar",13.43,"Magangué","North",0.25,0.222,0.333,0.1,1110
"13433","Región Caribe",13,"Bolívar",13.433,"Mahates","North",0.25,0.222,0.333,0.1,504
"13440","Región Caribe",13,"Bolívar",13.44,"Margarita","North",0.25,0.222,0.333,0.1,505
"13442","Región Caribe",13,"Bolívar",13.442,"María la Baja","North",0.25,0.222,0.333,0.1,506
"13458","Región Caribe",13,"Bolívar",13.458,"Montecristo","North",0.25,0.222,0.333,0.1,507
"13468","Región Caribe",13,"Bolívar",13.468,"Mompós","North",0.25,0.222,0.333,0.1,508
"13473","Región Caribe",13,"Bolívar",13.473,"Morales","North",0.25,0.222,0.333,0.1,509
"13490","Región Caribe",13,"Bolívar",13.49,"Norosí","North",0.25,0.222,0.333,0.1,510
"13549","Región Caribe",13,"Bolívar",13.549,"Pinillos","North",0.25,0.222,0.333,0.1,511
"13580","Región Caribe",13,"Bolívar",13.58,"Regidor","North",0.25,0.222,0.333,0.1,512
"13600","Región Caribe",13,"Bolívar",13.6,"Río Viejo","North",0.25,0.222,0.333,0.1,513
"13620","Región Caribe",13,"Bolívar",13.62,"San Cristóbal","North",0.25,0.222,0.333,0.1,514
"13647","Región Caribe",13,"Bolívar",13.647,"San Estanislao","North",0.25,0.222,0.333,0.1,515
"13650","Región Caribe",13,"Bolívar",13.65,"San Fernando","North",0.25,0.222,0.333,0.1,1109
"13654","Región Caribe",13,"Bolívar",13.654,"San Jacinto","North",0.25,0.222,0.333,0.1,516
"13655","Región Caribe",13,"Bolívar",13.655,"San Jacinto del Cauca","North",0.25,0.222,0.333,0.1,517
"13657","Región Caribe",13,"Bolívar",13.657,"San Juan Nepomuceno","North",0.25,0.222,0.333,0.1,518
"13667","Región Caribe",13,"Bolívar",13.667,"San Martín de Loba","North",0.25,0.222,0.333,0.1,519
"13670","Región Caribe",13,"Bolívar",13.67,"San Pablo de Borbur","North",0.25,0.222,0.333,0.1,520
"13673","Región Caribe",13,"Bolívar",13.673,"Santa Catalina","North",0.25,0.222,0.333,0.1,521
"13683","Región Caribe",13,"Bolívar",13.683,"Santa Rosa","North",0.25,0.222,0.333,0.1,522
"13688","Región Caribe",13,"Bolívar",13.688,"Santa Rosa del Sur","North",0.25,0.222,0.333,0.1,523
"13744","Región Caribe",13,"Bolívar",13.744,"Simití","North",0.25,0.222,0.333,0.1,524
"13760","Región Caribe",13,"Bolívar",13.76,"Soplaviento","North",0.25,0.222,0.333,0.1,525
"13780","Región Caribe",13,"Bolívar",13.78,"Talaigua Nuevo","North",0.25,0.222,0.333,0.1,526
"13810","Región Caribe",13,"Bolívar",13.81,"Tiquisio","North",0.25,0.222,0.333,0.1,527
"13836","Región Caribe",13,"Bolívar",13.836,"Turbaco","North",0.25,0.222,0.333,0.1,528
"13838","Región Caribe",13,"Bolívar",13.838,"Turbaná","North",0.25,0.222,0.333,0.1,529
"13873","Región Caribe",13,"Bolívar",13.873,"Villanueva","North",0.25,0.222,0.333,0.1,530
"13894","Región Caribe",13,"Bolívar",13.894,"Zambrano","North",0.25,0.222,0.333,0.1,531
"15001","Región Centro Oriente",15,"Boyacá",15.001,"Tunja","East",0.125,0,0.111,0.3,637
"15022","Región Centro Oriente",15,"Boyacá",15.022,"Almeida","East",0.125,0,0.111,0.3,638
"15047","Región Centro Oriente",15,"Boyacá",15.047,"Aquitania","East",0.125,0,0.111,0.3,639
"15051","Región Centro Oriente",15,"Boyacá",15.051,"Arcabuco","East",0.125,0,0.111,0.3,640
"15087","Región Centro Oriente",15,"Boyacá",15.087,"Belén","East",0.125,0,0.111,0.3,641
"15090","Región Centro Oriente",15,"Boyacá",15.09,"Berbeo","East",0.125,0,0.111,0.3,642
"15092","Región Centro Oriente",15,"Boyacá",15.092,"Betéitiva","East",0.125,0,0.111,0.3,643
"15097","Región Centro Oriente",15,"Boyacá",15.097,"Boavita","East",0.125,0,0.111,0.3,644
"15104","Región Centro Oriente",15,"Boyacá",15.104,"Boyacá","East",0.125,0,0.111,0.3,645
"15106","Región Centro Oriente",15,"Boyacá",15.106,"Briceño","East",0.125,0,0.111,0.3,646
"15109","Región Centro Oriente",15,"Boyacá",15.109,"Buena Vista","East",0.125,0,0.111,0.3,647
"15114","Región Centro Oriente",15,"Boyacá",15.114,"Busbanzá","East",0.125,0,0.111,0.3,648
"15131","Región Centro Oriente",15,"Boyacá",15.131,"Caldas","East",0.125,0,0.111,0.3,649
"15135","Región Centro Oriente",15,"Boyacá",15.135,"Campohermoso","East",0.125,0,0.111,0.3,650
"15162","Región Centro Oriente",15,"Boyacá",15.162,"Cerinza","East",0.125,0,0.111,0.3,651
"15172","Región Centro Oriente",15,"Boyacá",15.172,"Chinavita","East",0.125,0,0.111,0.3,652
"15176","Región Centro Oriente",15,"Boyacá",15.176,"Chiquinquirá","East",0.125,0,0.111,0.3,653
"15180","Región Centro Oriente",15,"Boyacá",15.18,"Chiscas","East",0.125,0,0.111,0.3,757
"15183","Región Centro Oriente",15,"Boyacá",15.183,"Chita","East",0.125,0,0.111,0.3,654
"15185","Región Centro Oriente",15,"Boyacá",15.185,"Chitaraque","East",0.125,0,0.111,0.3,655
"15187","Región Centro Oriente",15,"Boyacá",15.187,"Chivatá","East",0.125,0,0.111,0.3,656
"15189","Región Centro Oriente",15,"Boyacá",15.189,"Ciénega","East",0.125,0,0.111,0.3,657
"15204","Región Centro Oriente",15,"Boyacá",15.204,"Cómbita","East",0.125,0,0.111,0.3,658
"15212","Región Centro Oriente",15,"Boyacá",15.212,"Coper","East",0.125,0,0.111,0.3,659
"15215","Región Centro Oriente",15,"Boyacá",15.215,"Corrales","East",0.125,0,0.111,0.3,660
"15218","Región Centro Oriente",15,"Boyacá",15.218,"Covarachía","East",0.125,0,0.111,0.3,677
"15223","Región Centro Oriente",15,"Boyacá",15.223,"Cubará","East",0.125,0,0.111,0.3,758
"15224","Región Centro Oriente",15,"Boyacá",15.224,"Cucaita","East",0.125,0,0.111,0.3,678
"15226","Región Centro Oriente",15,"Boyacá",15.226,"Cuítiva","East",0.125,0,0.111,0.3,679
"15232","Región Centro Oriente",15,"Boyacá",15.232,"Chíquiza","East",0.125,0,0.111,0.3,680
"15236","Región Centro Oriente",15,"Boyacá",15.236,"Chivor","East",0.125,0,0.111,0.3,681
"15238","Región Centro Oriente",15,"Boyacá",15.238,"Duitama","East",0.125,0,0.111,0.3,682
"15244","Región Centro Oriente",15,"Boyacá",15.244,"El Cocuy","East",0.125,0,0.111,0.3,683
"15248","Región Centro Oriente",15,"Boyacá",15.248,"El Espino","East",0.125,0,0.111,0.3,684
"15272","Región Centro Oriente",15,"Boyacá",15.272,"Firavitoba","East",0.125,0,0.111,0.3,685
"15276","Región Centro Oriente",15,"Boyacá",15.276,"Floresta","East",0.125,0,0.111,0.3,686
"15293","Región Centro Oriente",15,"Boyacá",15.293,"Gachantivá","East",0.125,0,0.111,0.3,687
"15296","Región Centro Oriente",15,"Boyacá",15.296,"Gameza","East",0.125,0,0.111,0.3,688
"15299","Región Centro Oriente",15,"Boyacá",15.299,"Garagoa","East",0.125,0,0.111,0.3,689
"15317","Región Centro Oriente",15,"Boyacá",15.317,"Guacamayas","East",0.125,0,0.111,0.3,690
"15322","Región Centro Oriente",15,"Boyacá",15.322,"Guateque","East",0.125,0,0.111,0.3,691
"15325","Región Centro Oriente",15,"Boyacá",15.325,"Guayatá","East",0.125,0,0.111,0.3,692
"15332","Región Centro Oriente",15,"Boyacá",15.332,"Güicán","East",0.125,0,0.111,0.3,759
