id_electoral,ano,tipo_eleccion,fecha_eleccion,coddpto94,coddpto,departamento94,departamento,codmpio94,codmpio,municipio,circunscripcion,codigo_partido,codigo_lista,primer_apellido,segundo_apellido,nombres,votos,curules,nombre_partido
119940002,1994,Presidencia,Junio 19,5,5,ANTIOQUIA,ANTIOQUIA,5034,5034,ANDES,Nacional,,999,VOTOS EN BLANCO,,,81,0,
119940002,1994,Presidencia,Junio 19,5,5,ANTIOQUIA,ANTIOQUIA,5036,5036,ANGELOPOLIS,Nacional,19940006,1,PASTRANA,ARANGO,ANDRES,551,0,ANDRES PRESIDENTE
119940002,1994,Presidencia,Junio 19,5,5,ANTIOQUIA,ANTIOQUIA,5036,5036,ANGELOPOLIS,Nacional,18480001,2,SAMPER,PIZANO,ERNESTO,1037,1,PARTIDO LIBERAL COLOMBIANO
119940002,1994,Presidencia,Junio 19,5,5,ANTIOQUIA,ANTIOQUIA,5036,5036,ANGELOPOLIS,Nacional,,998,VOTOS NULOS,,,9,0,
119940002,1994,Presidencia,Junio 19,5,5,ANTIOQUIA,ANTIOQUIA,5036,5036,ANGELOPOLIS,Nacional,,999,VOTOS EN BLANCO,,,18,0,
119940002,1994,Presidencia,Junio 19,5,5,ANTIOQUIA,ANTIOQUIA,5038,5038,ANGOSTURA,Nacional,19940006,1,PASTRANA,ARANGO,ANDRES,1597,0,ANDRES PRESIDENTE
119940002,1994,Presidencia,Junio 19,5,5,ANTIOQUIA,ANTIOQUIA,5038,5038,ANGOSTURA,Nacional,18480001,2,SAMPER,PIZANO,ERNESTO,282,1,PARTIDO LIBERAL COLOMBIANO
119940002,1994,Presidencia,Junio 19,5,5,ANTIOQUIA,ANTIOQUIA,5038,5038,ANGOSTURA,Nacional,,998,VOTOS NULOS,,,21,0,
119940002,1994,Presidencia,Junio 19,5,5,ANTIOQUIA,ANTIOQUIA,5038,5038,ANGOSTURA,Nacional,,999,VOTOS EN BLANCO,,,25,0,
119940002,1994,Presidencia,Junio 19,5,5,ANTIOQUIA,ANTIOQUIA,5040,5040,ANORI,Nacional,19940006,1,PASTRANA,ARANGO,ANDRES,832,0,ANDRES PRESIDENTE
119940002,1994,Presidencia,Junio 19,5,5,ANTIOQUIA,ANTIOQUIA,5040,5040,ANORI,Nacional,18480001,2,SAMPER,PIZANO,ERNESTO,1074,1,PARTIDO LIBERAL COLOMBIANO
119940002,1994,Presidencia,Junio 19,5,5,ANTIOQUIA,ANTIOQUIA,5040,5040,ANORI,Nacional,,998,VOTOS NULOS,,,9,0,
119940002,1994,Presidencia,Junio 19,5,5,ANTIOQUIA,ANTIOQUIA,5040,5040,ANORI,Nacional,,999,VOTOS EN BLANCO,,,14,0,
119940002,1994,Presidencia,Junio 19,5,5,ANTIOQUIA,ANTIOQUIA,5042,5042,ANTIOQUIA,Nacional,19940006,1,PASTRANA,ARANGO,ANDRES,1456,0,ANDRES PRESIDENTE
119940002,1994,Presidencia,Junio 19,5,5,ANTIOQUIA,ANTIOQUIA,5042,5042,ANTIOQUIA,Nacional,18480001,2,SAMPER,PIZANO,ERNESTO,2055,1,PARTIDO LIBERAL COLOMBIANO
119940002,1994,Presidencia,Junio 19,5,5,ANTIOQUIA,ANTIOQUIA,5042,5042,ANTIOQUIA,Nacional,,998,VOTOS NULOS,,,15,0,
119940002,1994,Presidencia,Junio 19,5,5,ANTIOQUIA,ANTIOQUIA,5042,5042,ANTIOQUIA,Nacional,,999,VOTOS EN BLANCO,,,40,0,
119940002,1994,Presidencia,Junio 19,5,5,ANTIOQUIA,ANTIOQUIA,5044,5044,ANZA,Nacional,19940006,1,PASTRANA,ARANGO,ANDRES,129,0,ANDRES PRESIDENTE
119940002,1994,Presidencia,Junio 19,5,5,ANTIOQUIA,ANTIOQUIA,5044,5044,ANZA,Nacional,18480001,2,SAMPER,PIZANO,ERNESTO,1006,1,PARTIDO LIBERAL COLOMBIANO
119940002,1994,Presidencia,Junio 19,5,5,ANTIOQUIA,ANTIOQUIA,5044,5044,ANZA,Nacional,,998,VOTOS NULOS,,,12,0,
119940002,1994,Presidencia,Junio 19,5,5,ANTIOQUIA,ANTIOQUIA,5044,5044,ANZA,Nacional,,999,VOTOS EN BLANCO,,,14,0,
