"MPIO_CDPMP","depto","provincia","municipio","IndRur_0t1c","VAM18_2t3c","PBID18_2t3c","IPM18_2t3c","DisBog_4t5c","North_6","South_7","West_8","East_9","EjeCafe_6t9","Caribe_6t9","CSur_6t9","Pacif_6t9","COrient_6t9","Llano_6t9","Desp_10c","Conf_10c","Hurto_11c","Homic_11c","Errad_11c","DenPob_12c","DisMer_13c","PobInd_14c","PobEtn_14c","PobTot_12c","PobInd_14cp","PobEtn_14cp","RulPar_15t16c","Desp_10pcc","Conf_10pcc","Hurto_11pcc","Homic_11pcc","Errad_11pkmc"
"05001","Antioquia","Valle del aburra","Medellín",0.0071301247771836,0.999108734402852,0.999044890162369,0.0329768270944742,0.463458110516934,1,0,0,0,1,0,0,0,0,0,1,0.98932384341637,0.999109528049866,0.998219056099733,0.811387900355872,0.997326203208556,0.00089126559714795,0.870766488413547,0.993761140819964,0.999108734402852,0.409090909090909,0.625668449197861,0.672544080604534,0.902852049910873,0.989304812834225,0.991978609625668,0.638146167557932,0.811051693404635
"05002","Antioquia","Oriente","Abejorral",0.53921568627451,0.672014260249554,0.999044890162369,0.492869875222816,0.327094474153298,1,0,0,0,1,0,0,0,0,0,0.455516014234875,0.98932384341637,0.697239536954586,0.69813000890472,0.811387900355872,0.464349376114082,0.00445632798573975,0.254010695187166,0.42156862745098,0.655080213903743,0.159536541889483,0.289661319073084,0.982367758186398,0.393048128342246,0.989304812834225,0.623885918003565,0.662210338680927,0.811051693404635
"05004","Antioquia","Occidente","Abriaquí",0.660427807486631,0.0632798573975045,0.999044890162369,0.362745098039216,0.589126559714795,1,0,0,0,1,0,0,0,0,0,0.309608540925267,0.98932384341637,0.0765805877114871,0.283170080142476,0.811387900355872,0.0926916221033868,0.0338680926916221,0.138146167557932,0.214795008912656,0.054367201426025,0.138146167557932,0.557040998217469,0.994122586062133,0.308377896613191,0.989304812834225,0.110516934046346,0.2825311942959,0.811051693404635
"05021","Antioquia","Oriente","Alejandría",0.315508021390374,0.176470588235294,0.999044890162369,0.299465240641711,0.407308377896613,1,0,0,0,1,0,0,0,0,0,0.309608540925267,0.98932384341637,0.362422083704363,0.283170080142476,0.812277580071174,0.406417112299465,0.00445632798573975,0.138146167557932,0.186274509803922,0.135472370766488,0.138146167557932,0.345811051693405,0.955499580184719,0.308377896613191,0.989304812834225,0.639928698752228,0.2825311942959,0.823529411764706
"05030","Antioquia","Suroeste","Amagá",0.402852049910873,0.822638146167558,0.999044890162369,0.145276292335116,0.425133689839572,1,0,0,0,1,0,0,0,0,0,0.755338078291815,0.98932384341637,0.787177203918077,0.69813000890472,0.811387900355872,0.938502673796791,0.0071301247771836,0.398395721925134,0.452762923351159,0.781639928698752,0.264705882352941,0.224598930481283,0.778337531486146,0.688057040998218,0.989304812834225,0.707664884135472,0.541889483065954,0.811051693404635
"05031","Antioquia","Nordeste","Amalfi",0.293226381461676,0.872549019607843,0.999044890162369,0.567736185383244,0.549019607843137,1,0,0,0,1,0,0,0,0,0,0.890569395017794,0.98932384341637,0.802315227070347,0.772039180765806,0.811387900355872,0.225490196078431,0.0231729055258467,0.254010695187166,0.461675579322638,0.700534759358289,0.155080213903743,0.346702317290553,0.876574307304786,0.912655971479501,0.989304812834225,0.839572192513369,0.764705882352941,0.811051693404635
"05034","Antioquia","Suroeste","Andes",0.404634581105169,0.864527629233512,0.999044890162369,0.482174688057041,0.403743315508021,1,0,0,0,1,0,0,0,0,0,0.836298932384342,0.98932384341637,0.811219946571683,0.957257346393589,0.811387900355872,0.778966131907308,0.0294117647058824,0.686274509803922,0.596256684491979,0.855614973262032,0.650623885918004,0.478609625668449,0.90512174643157,0.760249554367201,0.989304812834225,0.635472370766488,0.955436720142603,0.811051693404635
"05036","Antioquia","Suroeste","Angelópolis",0.540998217468806,0.327985739750446,0.999044890162369,0.266488413547237,0.448306595365419,1,0,0,0,1,0,0,0,0,0,0.309608540925267,0.98932384341637,0.504897595725735,0.659839715048976,0.811387900355872,0.664884135472371,0.0053475935828877,0.292335115864528,0.176470588235294,0.20855614973262,0.344919786096257,0.223707664884135,0.948782535684299,0.308377896613191,0.989304812834225,0.762923351158645,0.906417112299465,0.811051693404635
"05038","Antioquia","Norte","Angostura",0.78698752228164,0.490196078431373,0.999044890162369,0.774509803921569,0.551693404634581,1,0,0,0,1,0,0,0,0,0,0.69661921708185,0.98932384341637,0.516473731077471,0.659839715048976,0.811387900355872,0.425133689839572,0.0053475935828877,0.138146167557932,0.294117647058824,0.476827094474153,0.138146167557932,0.210338680926916,0.945424013434089,0.790552584670232,0.989304812834225,0.494652406417112,0.754901960784314,0.811051693404635
"05040","Antioquia","Nordeste","Anorí",0.480392156862745,0.553475935828877,0.999044890162369,0.760249554367201,0.594474153297683,1,0,0,0,1,0,0,0,0,0,0.795373665480427,0.98932384341637,0.650044523597507,0.923419412288513,0.955516014234875,0.132798573975045,0.0231729055258467,0.665775401069519,0.568627450980392,0.589126559714795,0.688057040998218,0.607843137254902,0.585222502099076,0.846702317290553,0.989304812834225,0.606951871657754,0.984848484848485,0.947415329768271
"05042","Antioquia","Occidente","Santafé de Antioquia",0.226381461675579,0.754901960784314,0.999044890162369,0.245989304812834,0.560606060606061,1,0,0,0,1,0,0,0,0,0,0.837188612099644,0.98932384341637,0.817453250222618,0.820124666073019,0.811387900355872,0.547237076648841,0.0240641711229947,0.49554367201426,0.635472370766488,0.741532976827095,0.442959001782531,0.627450980392157,0.754827875734677,0.839572192513369,0.989304812834225,0.827094474153298,0.804812834224599,0.811051693404635
"05044","Antioquia","Occidente","Anza",0.854723707664884,0.418894830659537,0.999044890162369,0.655971479500891,0.512477718360071,1,0,0,0,1,0,0,0,0,0,0.435943060498221,0.98932384341637,0.403383793410508,0.659839715048976,0.811387900355872,0.35204991087344,0.0106951871657754,0.254010695187166,0.245098039215686,0.279857397504456,0.259358288770053,0.279857397504456,0.985726280436608,0.522281639928699,0.989304812834225,0.499108734402852,0.866310160427808,0.811051693404635
"05045","Antioquia","Urabá","Apartadó",0.0971479500891266,0.953654188948307,0.999044890162369,0.21301247771836,0.762032085561497,1,0,0,0,1,0,0,0,0,0,0.947508896797153,0.98932384341637,0.945681211041852,0.963490650044524,0.911921708185053,0.907308377896613,0.112299465240642,0.774509803921569,0.984848484848485,0.950089126559715,0.660427807486631,0.85204991087344,0.232577665827036,0.845811051693405,0.989304812834225,0.893939393939394,0.806595365418895,0.92602495543672
"05051","Antioquia","Urabá","Arboletes",0.615864527629233,0.737076648841355,0.999044890162369,0.85204991087344,0.827094474153298,1,0,0,0,1,0,0,0,0,0,0.309608540925267,0.98932384341637,0.609082813891362,0.529830810329475,0.811387900355872,0.466131907308378,0.035650623885918,0.79144385026738,0.859180035650624,0.77807486631016,0.774509803921569,0.832442067736185,0.422334172963896,0.308377896613191,0.989304812834225,0.318181818181818,0.331550802139037,0.811051693404635
"05055","Antioquia","Oriente","Argelia",0.434046345811052,0.294117647058824,0.999044890162369,0.684491978609626,0.25222816399287,1,0,0,0,1,0,0,0,0,0,0.309608540925267,0.98932384341637,0.46393588601959,0.529830810329475,0.836298932384342,0.385918003565062,0.00089126559714795,0.254010695187166,0.360071301247772,0.299465240641711,0.251336898395722,0.505347593582888,0.997481108312343,0.308377896613191,0.989304812834225,0.589126559714795,0.683600713012478,0.863636363636364
"05059","Antioquia","Occidente","Armenia",0.61319073083779,0.170231729055258,0.999044890162369,0.435828877005348,0.468805704099822,1,0,0,0,1,0,0,0,0,0,0.455516014234875,0.98932384341637,0.216384683882458,0.659839715048976,0.811387900355872,0.463458110516934,0.00623885918003565,0.292335115864528,0.0463458110516934,0.133689839572193,0.39572192513369,0.0392156862745098,0.923593618807725,0.67825311942959,0.989304812834225,0.340463458110517,0.940285204991087,0.811051693404635
"05079","Antioquia","Valle del aburra","Barbosa",0.46524064171123,0.90017825311943,0.999044890162369,0.132798573975045,0.451871657754011,1,0,0,0,1,0,0,0,0,0,0.881672597864769,0.98932384341637,0.894033837934105,0.906500445235975,0.811387900355872,0.909982174688057,0.00445632798573975,0.480392156862745,0.562388591800356,0.884135472370767,0.298573975044563,0.325311942959002,0.660789252728799,0.818181818181818,0.989304812834225,0.853832442067736,0.797682709447415,0.811051693404635
"05086","Antioquia","Norte","Belmira",0.716577540106952,0.264705882352941,0.999044890162369,0.502673796791444,0.536541889483066,1,0,0,0,1,0,0,0,0,0,0.529359430604982,0.98932384341637,0.242208370436331,0.283170080142476,0.811387900355872,0.24331550802139,0.0222816399286988,0.210338680926916,0.734402852049911,0.228163992869875,0.199643493761141,0.852941176470588,0.926952141057935,0.714795008912656,0.989304812834225,0.29144385026738,0.2825311942959,0.811051693404635
"05088","Antioquia","Valle del aburra","Bello",0.0196078431372549,0.982174688057041,0.999044890162369,0.0454545454545455,0.473262032085562,1,0,0,0,1,0,0,0,0,0,0.988434163701068,0.98932384341637,0.985752448797863,0.97506678539626,0.811387900355872,0.992869875222816,0.00089126559714795,0.705882352941177,0.926916221033868,0.991087344028521,0.350267379679144,0.602495543672014,0.617968094038623,0.883244206773619,0.989304812834225,0.93048128342246,0.50445632798574,0.811051693404635
"05091","Antioquia","Suroeste","Betania",0.584670231729055,0.53030303030303,0.999044890162369,0.767379679144385,0.43048128342246,1,0,0,0,1,0,0,0,0,0,0.509786476868327,0.98932384341637,0.46393588601959,0.857524487978629,0.811387900355872,0.57843137254902,0.0311942959001783,0.529411764705882,0.354723707664884,0.397504456327986,0.60873440285205,0.43048128342246,0.977329974811083,0.581996434937611,0.989304812834225,0.490196078431373,0.978609625668449,0.811051693404635
"05093","Antioquia","Suroeste","Betulia",0.71301247771836,0.663992869875223,0.999044890162369,0.757575757575758,0.501782531194296,1,0,0,0,1,0,0,0,0,0,0.529359430604982,0.98932384341637,0.516473731077471,0.791629563668744,0.811387900355872,0.642602495543672,0.0151515151515152,0.512477718360071,0.431372549019608,0.606060606060606,0.53921568627451,0.394830659536542,0.992443324937028,0.489304812834225,0.989304812834225,0.35650623885918,0.857397504456328,0.811051693404635
"05101","Antioquia","Suroeste","Ciudad Bolívar",0.25222816399287,0.766488413547237,0.999044890162369,0.488413547237077,0.445632798573975,1,0,0,0,1,0,0,0,0,0,0.722419928825623,0.98932384341637,0.715048975957257,0.955476402493321,0.811387900355872,0.772727272727273,0.0303030303030303,0.693404634581105,0.574866310160428,0.74331550802139,0.684491978609626,0.542780748663102,0.947942905121746,0.672905525846702,0.989304812834225,0.576648841354724,0.987522281639929,0.811051693404635
"05107","Antioquia","Norte","Briceño",0.63903743315508,0.316399286987522,0.999044890162369,0.799465240641711,0.606060606060606,1,0,0,0,1,0,0,0,0,0,0.651245551601424,0.98932384341637,0.145146927871772,0.772039180765806,0.932384341637011,0.215686274509804,0.0053475935828877,0.292335115864528,0.223707664884135,0.258467023172906,0.318181818181818,0.271836007130125,0.510495382031906,0.836007130124777,0.989304812834225,0.119429590017825,0.966131907308378,0.967914438502674
"05113","Antioquia","Occidente","Buriticá",0.774509803921569,0.341354723707665,0.999044890162369,0.732620320855615,0.591800356506239,1,0,0,0,1,0,0,0,0,0,0.529359430604982,0.98932384341637,0.298308103294746,0.772039180765806,0.811387900355872,0.292335115864528,0.0427807486631016,0.138146167557932,0.280748663101604,0.334224598930481,0.138146167557932,0.318181818181818,0.752308984047019,0.651515151515151,0.989304812834225,0.274509803921569,0.948306595365419,0.811051693404635
"05120","Antioquia","Bajo cauca","Cáceres",0.848484848484849,0.798573975044563,0.999044890162369,0.914438502673797,0.649732620320856,1,0,0,0,1,0,0,0,0,0,0.984875444839858,0.98932384341637,0.585040071237756,0.969723953695459,0.99644128113879,0.180035650623886,0.0668449197860963,0.851158645276292,0.741532976827095,0.776292335115864,0.812834224598931,0.722816399286987,0.302267002518892,0.989304812834225,0.989304812834225,0.286096256684492,0.994652406417112,0.993761140819964
"05125","Antioquia","Suroeste","Caicedo",0.833333333333333,0.401069518716578,0.999044890162369,0.784313725490196,0.545454545454545,1,0,0,0,1,0,0,0,0,0,0.476868327402135,0.98932384341637,0.216384683882458,0.529830810329475,0.811387900355872,0.467914438502674,0.0204991087344029,0.210338680926916,0.308377896613191,0.316399286987522,0.172905525846702,0.403743315508021,0.936188077246012,0.56951871657754,0.989304812834225,0.179144385026738,0.664884135472371,0.811051693404635
"05129","Antioquia","Valle del aburra","Caldas",0.107843137254902,0.916221033868093,0.999044890162369,0.0623885918003565,0.417112299465241,1,0,0,0,1,0,0,0,0,0,0.733096085409253,0.98932384341637,0.924309884238646,0.934105075690116,0.811387900355872,0.962566844919786,0.0071301247771836,0.49554367201426,0.648841354723708,0.93048128342246,0.254901960784314,0.420677361853832,0.600335852225021,0.443850267379679,0.989304812834225,0.814616755793226,0.762923351158645,0.811051693404635
"05134","Antioquia","Norte","Campamento",0.722816399286987,0.274509803921569,0.999044890162369,0.853832442067736,0.57843137254902,1,0,0,0,1,0,0,0,0,0,0.749110320284697,0.98932384341637,0.242208370436331,0.529830810329475,0.811387900355872,0.477718360071301,0.0053475935828877,0.138146167557932,0.284313725490196,0.336898395721925,0.138146167557932,0.327985739750446,0.872376154492024,0.88680926916221,0.989304812834225,0.201426024955437,0.644385026737968,0.811051693404635
"05138","Antioquia","Occidente","Cañasgordas",0.629233511586453,0.532085561497326,0.999044890162369,0.617647058823529,0.612299465240642,1,0,0,0,1,0,0,0,0,0,0.619217081850534,0.98932384341637,0.45146927871772,0.595725734639359,0.811387900355872,0.490196078431373,0.0213903743315508,0.292335115864528,0.379679144385027,0.567736185383244,0.214795008912656,0.290552584670232,0.981528127623846,0.64349376114082,0.989304812834225,0.311051693404635,0.585561497326203,0.811051693404635
"05142","Antioquia","Magdalena medio","Caracolí",0.251336898395722,0.163101604278075,0.999044890162369,0.382352941176471,0.373440285204991,1,0,0,0,1,0,0,0,0,0,0.309608540925267,0.98932384341637,0.269813000890472,0.430988423864648,0.877224199288256,0.203208556149733,0.0160427807486631,0.138146167557932,0.106060606060606,0.144385026737968,0.138146167557932,0.123885918003565,0.788413098236776,0.308377896613191,0.989304812834225,0.450980392156863,0.626559714795009,0.915329768270945
"05145","Antioquia","Suroeste","Caramanta",0.412655971479501,0.237076648841355,0.999044890162369,0.262032085561497,0.316399286987522,1,0,0,0,1,0,0,0,0,0,0.309608540925267,0.98932384341637,0.175422974176313,0.283170080142476,0.811387900355872,0.566844919786096,0.0151515151515152,0.210338680926916,0.164884135472371,0.162210338680927,0.22192513368984,0.241532976827094,0.829554995801847,0.308377896613191,0.989304812834225,0.229946524064171,0.2825311942959,0.811051693404635
"05147","Antioquia","Urabá","Carepa",0.172014260249554,0.914438502673797,0.999044890162369,0.358288770053476,0.757575757575758,1,0,0,0,1,0,0,0,0,0,0.9644128113879,0.98932384341637,0.876224398931434,0.930543187889581,0.861209964412811,0.83065953654189,0.100713012477718,0.585561497326203,0.902852049910873,0.887700534759358,0.513368983957219,0.819073083778966,0.261964735516373,0.95632798573975,0.989304812834225,0.784313725490196,0.870766488413547,0.876114081996435
