"MPIO_CDPMP","depto","MR1","MR2","MR4","MR3","MR1mean","MR2mean","MR3mean","MR4mean","MR1c","MR2c","MR4c","MR3c","MR1c_emel","MR2c_emel","MR4c_emel","MR3c_emel","MR1c_cscw","MR2c_cscw","MR4c_cscw","MR3c_cscw","MRm_emel","MRm_cscw","MRm_dem"
"05541","Antioquia",0.466473547499332,0.824827632989523,1.29153173442849,0.178226739114527,-0.283111848266713,0.300721844515804,0.45307935853374,-0.274244347126318,0.610516934046346,0.784313725490196,0.936720142602496,0.513368983957219,0.186512923351159,0.514196078431372,0.601842691622103,0.481283422459893,0.340821078431373,0.681490196078431,0.843048128342246,0.462032085561497,0.445958778966132,0.581847872103387,0.513903325534759
"05543","Antioquia",1.24121227035129,-0.583207402999039,-0.721162974137887,-0.706362141807727,-0.283111848266713,0.300721844515804,0.45307935853374,-0.274244347126318,0.889483065953654,0.327094474153298,0.236185383244207,0.180035650623886,0.271737076648841,0.214443137254902,0.151749108734403,0.168783422459893,0.496553921568627,0.2842123885918,0.212566844919786,0.162032085561497,0.20167818627451,0.288841310160428,0.245259748217469
"05576","Antioquia",-0.376437823277102,-0.673695080238075,0.106480048139679,0.057720628332574,-0.283111848266713,0.300721844515804,0.45307935853374,-0.274244347126318,0.366310160427808,0.290552584670232,0.506238859180036,0.457219251336898,0.111907754010695,0.190486274509804,0.325258467023173,0.428643048128342,0.204492647058824,0.252461140819964,0.455614973262032,0.411497326203209,0.264073885918004,0.331016521836007,0.297545203877005
"05579","Antioquia",-0.111777016291592,1.27063995850339,0.608070051120898,-0.696646060884512,-0.283111848266713,0.300721844515804,0.45307935853374,-0.274244347126318,0.4349376114082,0.877896613190731,0.692513368983957,0.183600713012478,0.132873440285205,0.575549019607843,0.444939839572193,0.172125668449198,0.242803921568627,0.762804367201426,0.623262032085562,0.16524064171123,0.33137199197861,0.448527740641711,0.38994986631016
"05585","Antioquia",-0.0874693354962121,0.107339631574164,0.618337348373043,-1.00768683909608,-0.283111848266713,0.300721844515804,0.45307935853374,-0.274244347126318,0.437611408199644,0.54367201426025,0.697860962566845,0.127450980392157,0.133690285204991,0.35643137254902,0.448375668449198,0.119485294117647,0.244296568627451,0.472396613190731,0.62807486631016,0.114705882352941,0.264495655080214,0.364868482620321,0.314682068850267
"05591","Antioquia",0.875620369612723,0.730061423215872,0.8933723895653,-0.341333073554934,-0.283111848266713,0.300721844515804,0.45307935853374,-0.274244347126318,0.74777183600713,0.758467023172905,0.806595365418895,0.287878787878788,0.228444295900178,0.497250980392157,0.51823752228164,0.269886363636364,0.41744362745098,0.659031996434938,0.725935828877005,0.259090909090909,0.378454790552585,0.515375590463458,0.446915190508021
"05604","Antioquia",-0.0601895423462013,0.360800028945827,0.299626339258866,-1.95815066220696,-0.283111848266713,0.300721844515804,0.45307935853374,-0.274244347126318,0.444741532976827,0.630124777183601,0.57843137254902,0.035650623885918,0.135868538324421,0.413109803921569,0.371642156862745,0.0334224598930481,0.248276960784314,0.547515418894831,0.520588235294118,0.0320855614973262,0.238510739750446,0.337116544117647,0.287813641934046
"05607","Antioquia",0.866153112931082,1.22058154271489,1.08936635152365,0.961054708232622,-0.283111848266713,0.300721844515804,0.45307935853374,-0.274244347126318,0.744206773618538,0.869875222816399,0.862745098039216,0.908199643493761,0.227355169340463,0.570290196078431,0.554313725490196,0.851437165775401,0.415453431372549,0.755834581105169,0.776470588235294,0.817379679144385,0.550849064171123,0.691284569964349,0.621066817067736
"05615","Antioquia",0.153155442440256,1.91148794776683,1.27702357999325,0.139627774542667,-0.283111848266713,0.300721844515804,0.45307935853374,-0.274244347126318,0.508912655971479,0.971479500891266,0.93048128342246,0.494652406417112,0.155472816399287,0.636901960784314,0.597834224598931,0.463736631016043,0.284100490196078,0.844118538324421,0.837433155080214,0.445187165775401,0.463486408199644,0.602709837344028,0.533098122771836
"05628","Antioquia",0.67730618219271,-0.625015751857891,-0.59077610916425,-1.50887729048969,-0.283111848266713,0.300721844515804,0.45307935853374,-0.274244347126318,0.68270944741533,0.310160427807487,0.271836007130125,0.0677361853832442,0.208567736185383,0.203341176470588,0.174654634581105,0.0635026737967914,0.381122549019608,0.269498395721925,0.244652406417112,0.0609625668449198,0.162516555258467,0.239058979500891,0.200787767379679
"05631","Antioquia",0.17059083623457,1.81612268505874,1.29818897592016,0.65331464550687,-0.283111848266713,0.300721844515804,0.45307935853374,-0.274244347126318,0.516042780748663,0.959893048128342,0.938502673796791,0.763814616755793,0.157651069518717,0.629305882352941,0.602987967914439,0.716076203208556,0.288080882352941,0.834051069518717,0.844652406417112,0.687433155080214,0.526505280748663,0.663554378342246,0.595029829545455
"05642","Antioquia",0.723213224161749,0.271671768231629,-0.0127568175140879,-0.621318059181226,-0.283111848266713,0.300721844515804,0.45307935853374,-0.274244347126318,0.702317290552585,0.593582887700535,0.46969696969697,0.199643493761141,0.214557932263815,0.389152941176471,0.301780303030303,0.18716577540107,0.39206862745098,0.515764171122995,0.422727272727273,0.179679144385027,0.273164237967914,0.377559803921569,0.325362020944742
"05647","Antioquia",1.09109453868471,-0.596589813983471,-0.173863455601094,-0.428796261475399,-0.283111848266713,0.300721844515804,0.45307935853374,-0.274244347126318,0.819964349376114,0.320855614973262,0.402852049910873,0.251336898395722,0.250499108734403,0.210352941176471,0.258832442067736,0.235628342245989,0.457745098039216,0.278791443850267,0.362566844919786,0.22620320855615,0.23882820855615,0.331326648841355,0.285077428698752
"05649","Antioquia",0.497446260652978,0.232716453739623,0.911084042533507,-0.523729808389398,-0.283111848266713,0.300721844515804,0.45307935853374,-0.274244347126318,0.617647058823529,0.57843137254902,0.814616755793226,0.221033868092692,0.188691176470588,0.379219607843137,0.523391265597148,0.207219251336898,0.344801470588235,0.502599019607843,0.733155080213904,0.198930481283422,0.324630325311943,0.444871512923351,0.384750919117647
"05652","Antioquia",1.09816179594814,-1.06825037876019,-0.0643431297707832,-0.53526453876491,-0.283111848266713,0.300721844515804,0.45307935853374,-0.274244347126318,0.825311942959002,0.164884135472371,0.451871657754011,0.219251336898396,0.252132798573975,0.108098039215686,0.290327540106952,0.205548128342246,0.460730392156863,0.143267825311943,0.40668449197861,0.197326203208556,0.214026626559715,0.302002228163993,0.258014427361854
