id_electoral,ano,tipo_eleccion,fecha_eleccion,coddpto,departamento,codmpio,municipio,circunscripcion,codigo_partido,codigo_lista,primer_apellido,segundo_apellido,nombres,votos,curules
419970001,1997,Gobernación,Octubre 26,5,ANTIOQUIA,5030,AMAGA,Departamental,19780002,2,BETANCUR,AGUILAR,JORGE HERNAN,197,0
419970001,1997,Gobernación,Octubre 26,5,ANTIOQUIA,5030,AMAGA,Departamental,19920005,4,VILLEGAS,MORENO,ALVARO,996,0
419970001,1997,Gobernación,Octubre 26,5,ANTIOQUIA,5030,AMAGA,Departamental,,997,TARJETAS NO MARCADAS,,,1950,0
419970001,1997,Gobernación,Octubre 26,5,ANTIOQUIA,5030,AMAGA,Departamental,,998,VOTOS NULOS,,,123,0
419970001,1997,Gobernación,Octubre 26,5,ANTIOQUIA,5030,AMAGA,Departamental,,999,VOTOS EN BLANCO,,,346,0
419970001,1997,Gobernación,Octubre 26,5,ANTIOQUIA,5031,AMALFI,Departamental,18480001,1,DELGADO,SANUDO,ROBERTO,51,0
419970001,1997,Gobernación,Octubre 26,5,ANTIOQUIA,5031,AMALFI,Departamental,18480001,3,MEDINA,,BALTAZAR,72,0
419970001,1997,Gobernación,Octubre 26,5,ANTIOQUIA,5031,AMALFI,Departamental,18490002,5,BUILES,ORTEGA,JESUS ALBERTO,441,1
419970001,1997,Gobernación,Octubre 26,5,ANTIOQUIA,5031,AMALFI,Departamental,19780002,2,BETANCUR,AGUILAR,JORGE HERNAN,39,0
419970001,1997,Gobernación,Octubre 26,5,ANTIOQUIA,5031,AMALFI,Departamental,19920005,4,VILLEGAS,MORENO,ALVARO,366,0
419970001,1997,Gobernación,Octubre 26,5,ANTIOQUIA,5031,AMALFI,Departamental,,997,TARJETAS NO MARCADAS,,,330,0
419970001,1997,Gobernación,Octubre 26,5,ANTIOQUIA,5031,AMALFI,Departamental,,998,VOTOS NULOS,,,48,0
419970001,1997,Gobernación,Octubre 26,5,ANTIOQUIA,5031,AMALFI,Departamental,,999,VOTOS EN BLANCO,,,169,0
419970001,1997,Gobernación,Octubre 26,5,ANTIOQUIA,5034,ANDES,Departamental,18480001,1,DELGADO,SANUDO,ROBERTO,417,0
419970001,1997,Gobernación,Octubre 26,5,ANTIOQUIA,5034,ANDES,Departamental,18480001,3,MEDINA,,BALTAZAR,254,0
419970001,1997,Gobernación,Octubre 26,5,ANTIOQUIA,5034,ANDES,Departamental,18490002,5,BUILES,ORTEGA,JESUS ALBERTO,2486,1
419970001,1997,Gobernación,Octubre 26,5,ANTIOQUIA,5034,ANDES,Departamental,19780002,2,BETANCUR,AGUILAR,JORGE HERNAN,173,0
419970001,1997,Gobernación,Octubre 26,5,ANTIOQUIA,5034,ANDES,Departamental,19920005,4,VILLEGAS,MORENO,ALVARO,2361,0
419970001,1997,Gobernación,Octubre 26,5,ANTIOQUIA,5034,ANDES,Departamental,,997,TARJETAS NO MARCADAS,,,1923,0
419970001,1997,Gobernación,Octubre 26,5,ANTIOQUIA,5034,ANDES,Departamental,,998,VOTOS NULOS,,,445,0
419970001,1997,Gobernación,Octubre 26,5,ANTIOQUIA,5034,ANDES,Departamental,,999,VOTOS EN BLANCO,,,572,0
419970001,1997,Gobernación,Octubre 26,5,ANTIOQUIA,5036,ANGELOPOLIS,Departamental,18480001,1,DELGADO,SANUDO,ROBERTO,319,0
419970001,1997,Gobernación,Octubre 26,5,ANTIOQUIA,5036,ANGELOPOLIS,Departamental,18480001,3,MEDINA,,BALTAZAR,110,0
419970001,1997,Gobernación,Octubre 26,5,ANTIOQUIA,5036,ANGELOPOLIS,Departamental,18490002,5,BUILES,ORTEGA,JESUS ALBERTO,352,1
419970001,1997,Gobernación,Octubre 26,5,ANTIOQUIA,5036,ANGELOPOLIS,Departamental,19780002,2,BETANCUR,AGUILAR,JORGE HERNAN,75,0
419970001,1997,Gobernación,Octubre 26,5,ANTIOQUIA,5036,ANGELOPOLIS,Departamental,19920005,4,VILLEGAS,MORENO,ALVARO,561,0
419970001,1997,Gobernación,Octubre 26,5,ANTIOQUIA,5036,ANGELOPOLIS,Departamental,,997,TARJETAS NO MARCADAS,,,792,0
419970001,1997,Gobernación,Octubre 26,5,ANTIOQUIA,5036,ANGELOPOLIS,Departamental,,998,VOTOS NULOS,,,80,0
419970001,1997,Gobernación,Octubre 26,5,ANTIOQUIA,5036,ANGELOPOLIS,Departamental,,999,VOTOS EN BLANCO,,,117,0
419970001,1997,Gobernación,Octubre 26,5,ANTIOQUIA,5038,ANGOSTURA,Departamental,18480001,1,DELGADO,SANUDO,ROBERTO,4,0
419970001,1997,Gobernación,Octubre 26,5,ANTIOQUIA,5038,ANGOSTURA,Departamental,18480001,3,MEDINA,,BALTAZAR,5,0
419970001,1997,Gobernación,Octubre 26,5,ANTIOQUIA,5038,ANGOSTURA,Departamental,18490002,5,BUILES,ORTEGA,JESUS ALBERTO,27,1
419970001,1997,Gobernación,Octubre 26,5,ANTIOQUIA,5038,ANGOSTURA,Departamental,19780002,2,BETANCUR,AGUILAR,JORGE HERNAN,6,0
419970001,1997,Gobernación,Octubre 26,5,ANTIOQUIA,5038,ANGOSTURA,Departamental,19920005,4,VILLEGAS,MORENO,ALVARO,11,0
419970001,1997,Gobernación,Octubre 26,5,ANTIOQUIA,5038,ANGOSTURA,Departamental,,997,TARJETAS NO MARCADAS,,,30,0
419970001,1997,Gobernación,Octubre 26,5,ANTIOQUIA,5038,ANGOSTURA,Departamental,,998,VOTOS NULOS,,,4,0
419970001,1997,Gobernación,Octubre 26,5,ANTIOQUIA,5038,ANGOSTURA,Departamental,,999,VOTOS EN BLANCO,,,11,0
419970001,1997,Gobernación,Octubre 26,5,ANTIOQUIA,5040,ANORI,Departamental,18480001,1,DELGADO,SANUDO,ROBERTO,161,0
419970001,1997,Gobernación,Octubre 26,5,ANTIOQUIA,5040,ANORI,Departamental,18480001,3,MEDINA,,BALTAZAR,31,0
419970001,1997,Gobernación,Octubre 26,5,ANTIOQUIA,5040,ANORI,Departamental,18490002,5,BUILES,ORTEGA,JESUS ALBERTO,307,1
419970001,1997,Gobernación,Octubre 26,5,ANTIOQUIA,5040,ANORI,Departamental,19780002,2,BETANCUR,AGUILAR,JORGE HERNAN,22,0
419970001,1997,Gobernación,Octubre 26,5,ANTIOQUIA,5040,ANORI,Departamental,19920005,4,VILLEGAS,MORENO,ALVARO,92,0
419970001,1997,Gobernación,Octubre 26,5,ANTIOQUIA,5040,ANORI,Departamental,,997,TARJETAS NO MARCADAS,,,195,0
419970001,1997,Gobernación,Octubre 26,5,ANTIOQUIA,5040,ANORI,Departamental,,998,VOTOS NULOS,,,65,0
419970001,1997,Gobernación,Octubre 26,5,ANTIOQUIA,5040,ANORI,Departamental,,999,VOTOS EN BLANCO,,,69,0
419970001,1997,Gobernación,Octubre 26,5,ANTIOQUIA,5042,SANTA FE DE ANTIOQUIA,Departamental,18480001,1,DELGADO,SANUDO,ROBERTO,793,0
419970001,1997,Gobernación,Octubre 26,5,ANTIOQUIA,5042,SANTA FE DE ANTIOQUIA,Departamental,18480001,3,MEDINA,,BALTAZAR,93,0
419970001,1997,Gobernación,Octubre 26,5,ANTIOQUIA,5042,SANTA FE DE ANTIOQUIA,Departamental,18490002,5,BUILES,ORTEGA,JESUS ALBERTO,744,1
419970001,1997,Gobernación,Octubre 26,5,ANTIOQUIA,5042,SANTA FE DE ANTIOQUIA,Departamental,19780002,2,BETANCUR,AGUILAR,JORGE HERNAN,44,0
419970001,1997,Gobernación,Octubre 26,5,ANTIOQUIA,5042,SANTA FE DE ANTIOQUIA,Departamental,19920005,4,VILLEGAS,MORENO,ALVARO,340,0
419970001,1997,Gobernación,Octubre 26,5,ANTIOQUIA,5042,SANTA FE DE ANTIOQUIA,Departamental,,997,TARJETAS NO MARCADAS,,,1209,0
419970001,1997,Gobernación,Octubre 26,5,ANTIOQUIA,5042,SANTA FE DE ANTIOQUIA,Departamental,,998,VOTOS NULOS,,,105,0
419970001,1997,Gobernación,Octubre 26,5,ANTIOQUIA,5042,SANTA FE DE ANTIOQUIA,Departamental,,999,VOTOS EN BLANCO,,,234,0
419970001,1997,Gobernación,Octubre 26,5,ANTIOQUIA,5044,ANZA,Departamental,18480001,1,DELGADO,SANUDO,ROBERTO,56,0
419970001,1997,Gobernación,Octubre 26,5,ANTIOQUIA,5044,ANZA,Departamental,18480001,3,MEDINA,,BALTAZAR,12,0
419970001,1997,Gobernación,Octubre 26,5,ANTIOQUIA,5044,ANZA,Departamental,18490002,5,BUILES,ORTEGA,JESUS ALBERTO,46,1
419970001,1997,Gobernación,Octubre 26,5,ANTIOQUIA,5044,ANZA,Departamental,19780002,2,BETANCUR,AGUILAR,JORGE HERNAN,9,0
419970001,1997,Gobernación,Octubre 26,5,ANTIOQUIA,5044,ANZA,Departamental,19920005,4,VILLEGAS,MORENO,ALVARO,41,0
419970001,1997,Gobernación,Octubre 26,5,ANTIOQUIA,5044,ANZA,Departamental,,997,TARJETAS NO MARCADAS,,,131,0
419970001,1997,Gobernación,Octubre 26,5,ANTIOQUIA,5044,ANZA,Departamental,,998,VOTOS NULOS,,,5,0
419970001,1997,Gobernación,Octubre 26,5,ANTIOQUIA,5044,ANZA,Departamental,,999,VOTOS EN BLANCO,,,41,0
419970001,1997,Gobernación,Octubre 26,5,ANTIOQUIA,5045,APARTADO,Departamental,18480001,1,DELGADO,SANUDO,ROBERTO,470,0
419970001,1997,Gobernación,Octubre 26,5,ANTIOQUIA,5045,APARTADO,Departamental,18480001,3,MEDINA,,BALTAZAR,821,0
419970001,1997,Gobernación,Octubre 26,5,ANTIOQUIA,5045,APARTADO,Departamental,18490002,5,BUILES,ORTEGA,JESUS ALBERTO,805,1
419970001,1997,Gobernación,Octubre 26,5,ANTIOQUIA,5045,APARTADO,Departamental,19780002,2,BETANCUR,AGUILAR,JORGE HERNAN,362,0
419970001,1997,Gobernación,Octubre 26,5,ANTIOQUIA,5045,APARTADO,Departamental,19920005,4,VILLEGAS,MORENO,ALVARO,5247,0
419970001,1997,Gobernación,Octubre 26,5,ANTIOQUIA,5045,APARTADO,Departamental,,997,TARJETAS NO MARCADAS,,,2259,0
419970001,1997,Gobernación,Octubre 26,5,ANTIOQUIA,5045,APARTADO,Departamental,,998,VOTOS NULOS,,,333,0
419970001,1997,Gobernación,Octubre 26,5,ANTIOQUIA,5045,APARTADO,Departamental,,999,VOTOS EN BLANCO,,,1402,0
419970001,1997,Gobernación,Octubre 26,5,ANTIOQUIA,5051,ARBOLETES,Departamental,18480001,1,DELGADO,SANUDO,ROBERTO,1008,0
419970001,1997,Gobernación,Octubre 26,5,ANTIOQUIA,5051,ARBOLETES,Departamental,18480001,3,MEDINA,,BALTAZAR,237,0
419970001,1997,Gobernación,Octubre 26,5,ANTIOQUIA,5051,ARBOLETES,Departamental,18490002,5,BUILES,ORTEGA,JESUS ALBERTO,1253,1
419970001,1997,Gobernación,Octubre 26,5,ANTIOQUIA,5051,ARBOLETES,Departamental,19780002,2,BETANCUR,AGUILAR,JORGE HERNAN,197,0
419970001,1997,Gobernación,Octubre 26,5,ANTIOQUIA,5051,ARBOLETES,Departamental,19920005,4,VILLEGAS,MORENO,ALVARO,1332,0
419970001,1997,Gobernación,Octubre 26,5,ANTIOQUIA,5051,ARBOLETES,Departamental,,997,TARJETAS NO MARCADAS,,,2490,0
419970001,1997,Gobernación,Octubre 26,5,ANTIOQUIA,5051,ARBOLETES,Departamental,,998,VOTOS NULOS,,,111,0
419970001,1997,Gobernación,Octubre 26,5,ANTIOQUIA,5051,ARBOLETES,Departamental,,999,VOTOS EN BLANCO,,,262,0
419970001,1997,Gobernación,Octubre 26,5,ANTIOQUIA,5055,ARGELIA,Departamental,18480001,1,DELGADO,SANUDO,ROBERTO,53,0
419970001,1997,Gobernación,Octubre 26,5,ANTIOQUIA,5055,ARGELIA,Departamental,18480001,3,MEDINA,,BALTAZAR,38,0
419970001,1997,Gobernación,Octubre 26,5,ANTIOQUIA,5055,ARGELIA,Departamental,18490002,5,BUILES,ORTEGA,JESUS ALBERTO,1258,1
419970001,1997,Gobernación,Octubre 26,5,ANTIOQUIA,5055,ARGELIA,Departamental,19780002,2,BETANCUR,AGUILAR,JORGE HERNAN,62,0
419970001,1997,Gobernación,Octubre 26,5,ANTIOQUIA,5055,ARGELIA,Departamental,19920005,4,VILLEGAS,MORENO,ALVARO,438,0
419970001,1997,Gobernación,Octubre 26,5,ANTIOQUIA,5055,ARGELIA,Departamental,,997,TARJETAS NO MARCADAS,,,391,0
419970001,1997,Gobernación,Octubre 26,5,ANTIOQUIA,5055,ARGELIA,Departamental,,998,VOTOS NULOS,,,169,0
419970001,1997,Gobernación,Octubre 26,5,ANTIOQUIA,5055,ARGELIA,Departamental,,999,VOTOS EN BLANCO,,,47,0
419970001,1997,Gobernación,Octubre 26,5,ANTIOQUIA,5059,ARMENIA,Departamental,18480001,1,DELGADO,SANUDO,ROBERTO,508,0
419970001,1997,Gobernación,Octubre 26,5,ANTIOQUIA,5059,ARMENIA,Departamental,18480001,3,MEDINA,,BALTAZAR,68,0
419970001,1997,Gobernación,Octubre 26,5,ANTIOQUIA,5059,ARMENIA,Departamental,18490002,5,BUILES,ORTEGA,JESUS ALBERTO,340,1
419970001,1997,Gobernación,Octubre 26,5,ANTIOQUIA,5059,ARMENIA,Departamental,19780002,2,BETANCUR,AGUILAR,JORGE HERNAN,28,0
419970001,1997,Gobernación,Octubre 26,5,ANTIOQUIA,5059,ARMENIA,Departamental,19920005,4,VILLEGAS,MORENO,ALVARO,245,0
419970001,1997,Gobernación,Octubre 26,5,ANTIOQUIA,5059,ARMENIA,Departamental,,997,TARJETAS NO MARCADAS,,,764,0
419970001,1997,Gobernación,Octubre 26,5,ANTIOQUIA,5059,ARMENIA,Departamental,,998,VOTOS NULOS,,,17,0
419970001,1997,Gobernación,Octubre 26,5,ANTIOQUIA,5059,ARMENIA,Departamental,,999,VOTOS EN BLANCO,,,65,0
419970001,1997,Gobernación,Octubre 26,5,ANTIOQUIA,5079,BARBOSA,Departamental,18480001,1,DELGADO,SANUDO,ROBERTO,1430,0
419970001,1997,Gobernación,Octubre 26,5,ANTIOQUIA,5079,BARBOSA,Departamental,18480001,3,MEDINA,,BALTAZAR,192,0
419970001,1997,Gobernación,Octubre 26,5,ANTIOQUIA,5079,BARBOSA,Departamental,18490002,5,BUILES,ORTEGA,JESUS ALBERTO,3557,1
419970001,1997,Gobernación,Octubre 26,5,ANTIOQUIA,5079,BARBOSA,Departamental,19780002,2,BETANCUR,AGUILAR,JORGE HERNAN,159,0
419970001,1997,Gobernación,Octubre 26,5,ANTIOQUIA,5079,BARBOSA,Departamental,19920005,4,VILLEGAS,MORENO,ALVARO,989,0
419970001,1997,Gobernación,Octubre 26,5,ANTIOQUIA,5079,BARBOSA,Departamental,,997,TARJETAS NO MARCADAS,,,1263,0
419970001,1997,Gobernación,Octubre 26,5,ANTIOQUIA,5079,BARBOSA,Departamental,,998,VOTOS NULOS,,,729,0
419970001,1997,Gobernación,Octubre 26,5,ANTIOQUIA,5079,BARBOSA,Departamental,,999,VOTOS EN BLANCO,,,1409,0
419970001,1997,Gobernación,Octubre 26,5,ANTIOQUIA,5086,BELMIRA,Departamental,18480001,1,DELGADO,SANUDO,ROBERTO,208,0
419970001,1997,Gobernación,Octubre 26,5,ANTIOQUIA,5086,BELMIRA,Departamental,18480001,3,MEDINA,,BALTAZAR,18,0
419970001,1997,Gobernación,Octubre 26,5,ANTIOQUIA,5086,BELMIRA,Departamental,18490002,5,BUILES,ORTEGA,JESUS ALBERTO,579,1
419970001,1997,Gobernación,Octubre 26,5,ANTIOQUIA,5086,BELMIRA,Departamental,19780002,2,BETANCUR,AGUILAR,JORGE HERNAN,14,0
