id_electoral,ano,tipo_eleccion,fecha_eleccion,coddpto86,coddpto,departamento86,departamento,codmpio86,codmpio,municipio,circunscripcion,codigo_partido,codigo_lista,en_lista,primer_apellido,segundo_apellido,nombres,votos,curules
519860004,1986,Concejo Municipal,Marzo 9,5,5,ANTIOQUIA,ANTIOQUIA,5021,5021,ALEJANDRIA,Municipal,,999,,VOTOS EN BLANCO,,,5,0
519860005,1986,Concejo Municipal,Marzo 9,5,5,ANTIOQUIA,ANTIOQUIA,5030,5030,AMAGA,Municipal,18480001,1,,,,PARTIDO LIBERAL COLOMBIANO,2853,1
519860005,1986,Concejo Municipal,Marzo 9,5,5,ANTIOQUIA,ANTIOQUIA,5030,5030,AMAGA,Municipal,18490002,1,,,,PARTIDO CONSERVADOR COLOMBIANO,1995,1
519860005,1986,Concejo Municipal,Marzo 9,5,5,ANTIOQUIA,ANTIOQUIA,5030,5030,AMAGA,Municipal,19790001,1,,,,MOVIMIENTO NUEVO LIBERALISMO,0,1
519860005,1986,Concejo Municipal,Marzo 9,5,5,ANTIOQUIA,ANTIOQUIA,5030,5030,AMAGA,Municipal,19850001,1,,,,UNION PATRIOTICA UP,0,1
519860005,1986,Concejo Municipal,Marzo 9,5,5,ANTIOQUIA,ANTIOQUIA,5030,5030,AMAGA,Municipal,19869999,1,,,,OTROS PARTIDO O MOVIMIENTOS,0,1
519860005,1986,Concejo Municipal,Marzo 9,5,5,ANTIOQUIA,ANTIOQUIA,5030,5030,AMAGA,Municipal,,998,,VOTOS NULOS,,,6,0
519860005,1986,Concejo Municipal,Marzo 9,5,5,ANTIOQUIA,ANTIOQUIA,5030,5030,AMAGA,Municipal,,999,,VOTOS EN BLANCO,,,3,0
519860006,1986,Concejo Municipal,Marzo 9,5,5,ANTIOQUIA,ANTIOQUIA,5031,5031,AMALFI,Municipal,18480001,1,,,,PARTIDO LIBERAL COLOMBIANO,1198,1
519860006,1986,Concejo Municipal,Marzo 9,5,5,ANTIOQUIA,ANTIOQUIA,5031,5031,AMALFI,Municipal,18490002,1,,,,PARTIDO CONSERVADOR COLOMBIANO,1041,1
519860006,1986,Concejo Municipal,Marzo 9,5,5,ANTIOQUIA,ANTIOQUIA,5031,5031,AMALFI,Municipal,19790001,1,,,,MOVIMIENTO NUEVO LIBERALISMO,0,1
519860006,1986,Concejo Municipal,Marzo 9,5,5,ANTIOQUIA,ANTIOQUIA,5031,5031,AMALFI,Municipal,19850001,1,,,,UNION PATRIOTICA UP,108,1
519860006,1986,Concejo Municipal,Marzo 9,5,5,ANTIOQUIA,ANTIOQUIA,5031,5031,AMALFI,Municipal,19869999,1,,,,OTROS PARTIDO O MOVIMIENTOS,0,1
519860006,1986,Concejo Municipal,Marzo 9,5,5,ANTIOQUIA,ANTIOQUIA,5031,5031,AMALFI,Municipal,,998,,VOTOS NULOS,,,3,0
519860006,1986,Concejo Municipal,Marzo 9,5,5,ANTIOQUIA,ANTIOQUIA,5031,5031,AMALFI,Municipal,,999,,VOTOS EN BLANCO,,,10,0
519860007,1986,Concejo Municipal,Marzo 9,5,5,ANTIOQUIA,ANTIOQUIA,5034,5034,ANDES,Municipal,18480001,1,,,,PARTIDO LIBERAL COLOMBIANO,4256,1
519860007,1986,Concejo Municipal,Marzo 9,5,5,ANTIOQUIA,ANTIOQUIA,5034,5034,ANDES,Municipal,18490002,1,,,,PARTIDO CONSERVADOR COLOMBIANO,2987,1
519860007,1986,Concejo Municipal,Marzo 9,5,5,ANTIOQUIA,ANTIOQUIA,5034,5034,ANDES,Municipal,19790001,1,,,,MOVIMIENTO NUEVO LIBERALISMO,211,1
519860007,1986,Concejo Municipal,Marzo 9,5,5,ANTIOQUIA,ANTIOQUIA,5034,5034,ANDES,Municipal,19850001,1,,,,UNION PATRIOTICA UP,0,1
519860007,1986,Concejo Municipal,Marzo 9,5,5,ANTIOQUIA,ANTIOQUIA,5034,5034,ANDES,Municipal,19869999,1,,,,OTROS PARTIDO O MOVIMIENTOS,557,1
519860007,1986,Concejo Municipal,Marzo 9,5,5,ANTIOQUIA,ANTIOQUIA,5034,5034,ANDES,Municipal,,998,,VOTOS NULOS,,,18,0
519860007,1986,Concejo Municipal,Marzo 9,5,5,ANTIOQUIA,ANTIOQUIA,5034,5034,ANDES,Municipal,,999,,VOTOS EN BLANCO,,,23,0
519860008,1986,Concejo Municipal,Marzo 9,5,5,ANTIOQUIA,ANTIOQUIA,5036,5036,ANGELOPOLIS,Municipal,18480001,1,,,,PARTIDO LIBERAL COLOMBIANO,1004,1
519860008,1986,Concejo Municipal,Marzo 9,5,5,ANTIOQUIA,ANTIOQUIA,5036,5036,ANGELOPOLIS,Municipal,18490002,1,,,,PARTIDO CONSERVADOR COLOMBIANO,535,1
