MPIO_CDPMP,municipio,depto,pct_elec_dom,pct_civlib_dom,pct_convergent,n_years,stability_type
52786,Taminango,Narino,0,0,1,4,Structurally convergent
52786,Taminango,Nariño,0.058823529411764705,0,0.9411764705882353,17,Structurally convergent
52788,Tangua,Narino,0,0,1,4,Structurally convergent
52788,Tangua,Nariño,0,0,1,17,Structurally convergent
52835,San Andres de Tumaco,Nariño,0.11764705882352941,0,0.8823529411764706,17,Structurally convergent
52835,San Andrés De Tumaco,Narino,0,0,1,4,Structurally convergent
52838,Túquerres,Narino,0,0,1,4,Structurally convergent
52838,Túquerres,Nariño,0,0.058823529411764705,0.9411764705882353,17,Structurally convergent
52885,Yacuanquer,Narino,0,0,1,4,Structurally convergent
52885,Yacuanquer,Nariño,0,0,1,17,Structurally convergent
54001,Cúcuta,Norte de Santander,0,0,1,16,Structurally convergent
54001,San José De Cúcuta,Norte Santander,0,0,1,4,Structurally convergent
54001,San José de Cúcuta,Norte de Santander,1,0,0,1,Structurally elections-dominant
54003,Abrego,Norte de Santander,0.47058823529411764,0,0.5294117647058824,17,Episodic / mixed
54003,Ábrego,Norte Santander,0,0,1,4,Structurally convergent
54051,Arboledas,Norte Santander,0,0,1,4,Structurally convergent
54051,Arboledas,Norte de Santander,0.058823529411764705,0,0.9411764705882353,17,Structurally convergent
54099,Bochalema,Norte Santander,0,0,1,4,Structurally convergent
54099,Bochalema,Norte de Santander,0.11764705882352941,0,0.8823529411764706,17,Structurally convergent
54109,Bucarasica,Norte Santander,0.25,0,0.75,4,Episodic / mixed
54109,Bucarasica,Norte de Santander,0.6470588235294118,0,0.35294117647058826,17,Episodic / mixed
54125,Cácota,Norte Santander,0,0,1,4,Structurally convergent
54125,Cácota,Norte de Santander,0.35294117647058826,0,0.6470588235294118,17,Episodic / mixed
54128,Cachirá,Norte de Santander,0.35294117647058826,0,0.6470588235294118,17,Episodic / mixed
54128,Cáchira,Norte Santander,0.25,0,0.75,4,Episodic / mixed
54172,Chinácota,Norte Santander,0,0,1,4,Structurally convergent
54172,Chinácota,Norte de Santander,0.5882352941176471,0,0.4117647058823529,17,Episodic / mixed
54174,Chitagá,Norte Santander,0,0,1,4,Structurally convergent
54174,Chitagá,Norte de Santander,0,0,1,17,Structurally convergent
54206,Convención,Norte Santander,0,0,1,4,Structurally convergent
54206,Convención,Norte de Santander,0,0,1,17,Structurally convergent
54223,Cucutilla,Norte Santander,0,0,1,4,Structurally convergent
54223,Cucutilla,Norte de Santander,0.058823529411764705,0,0.9411764705882353,17,Structurally convergent
54239,Durania,Norte Santander,0,0,1,4,Structurally convergent
54239,Durania,Norte de Santander,0.23529411764705882,0,0.7647058823529411,17,Episodic / mixed
54245,El Carmen,Norte Santander,0,0,1,4,Structurally convergent
54245,El Carmen,Norte de Santander,0.11764705882352941,0,0.8823529411764706,17,Structurally convergent
54250,El Tarra,Norte Santander,0.25,0,0.75,4,Episodic / mixed
54250,El Tarra,Norte de Santander,0,0,1,17,Structurally convergent
54261,El Zulia,Norte Santander,0,0,1,4,Structurally convergent
54261,El Zulia,Norte de Santander,0.17647058823529413,0,0.8235294117647058,17,Structurally convergent
54313,Gramalote,Norte Santander,0,0,1,4,Structurally convergent
54313,Gramalote,Norte de Santander,0.17647058823529413,0,0.8235294117647058,17,Structurally convergent
54344,Hacarí,Norte Santander,0.25,0,0.75,4,Episodic / mixed
54344,Hacarí,Norte de Santander,0.23529411764705882,0,0.7647058823529411,17,Episodic / mixed
54347,Herrán,Norte Santander,0,0,1,4,Structurally convergent
54347,Herrán,Norte de Santander,0.17647058823529413,0,0.8235294117647058,17,Structurally convergent
54377,Labateca,Norte Santander,0.5,0,0.5,4,Episodic / mixed
