event_id_cnty,event_date,year,time_precision,disorder_type,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,civilian_targeting,iso,region,country,admin1,admin2,admin3,admin1c,admin2c,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,tags,timestamp
COL10737,10-Apr-22,2022,1,Demonstrations,Protests,Peaceful protest,Protesters (Colombia),,6,,,0,60,,170,South America,Colombia,Antioquia,La Pintada,,ANTIOQUIA,LA PINTADA,La Pintada,5.7508,-75.6002,1,El Colombiano; El Espectador,Subnational-National,"On 10 April 2022, in La Pintada (Antioquia), residents protested against a water cut. Residents alleged that they have been without a drinking water supply for weeks and demanded the reconnection of the service. Protesters blocked the traffic on the freeway that connects Medellin and Manizales for several hours.",0,crowd size=no report,1650306662
COL17907,10-Oct-22,2022,2,Demonstrations,Protests,Peaceful protest,Protesters (Colombia),,6,,,0,60,,170,South America,Colombia,Norte de Santander,La Playa,,NORTE DE SANTANDER,LA PLAYA,La Playa,8.2137,-73.2381,1,La Opinion (Colombia),Subnational,"Around 10 October 2022 (as reported), in La Playa (Norte de Santander), parents at the Fray Jose Maria Arevalo school held a protest in front of the institution against the appointment of an interim principal. They demanded the appointment of a permanent principal.",0,crowd size=no report,1666032893
COL10210,3-Mar-22,2022,2,Demonstrations,Protests,Peaceful protest,Protesters (Colombia),Farmers (Colombia),6,,,0,60,,170,South America,Colombia,Norte de Santander,La Playa,,NORTE DE SANTANDER,LA PLAYA,La Playa,8.2137,-73.2381,1,La Opinion (Colombia),Subnational,"Around 3 March 2022, in La Playa de Balen (coded to La Playa, Norte de Santander), farmers protested against the lack of infrastructure in the municipality. The group blocked the main road to demand improved roads, water and sewerage and better access to public services for residents in the area.",0,crowd size=no report,1649715688
COL6783,8-May-21,2021,1,Demonstrations,Protests,Peaceful protest,Protesters (Colombia),Labor Group (Colombia),6,,,0,60,,170,South America,Colombia,Norte de Santander,La Playa,,NORTE DE SANTANDER,LA PLAYA,La Playa,8.2137,-73.2381,1,La Opinion (Colombia),Subnational,"On 8 May 2021, in La Playa de Belen (Norte de Santander), truck drivers gathered to protest against the poor maintainance of major roads in the region.",0,crowd size=no report,1649715688
COL5127,19-Dec-18,2018,1,Demonstrations,Protests,Peaceful protest,Protesters (Colombia),,6,,,0,60,,170,South America,Colombia,Quindio,La Tebaida,,QUINDIO,LA TEBAIDA,La Tebaida,4.4537,-75.7865,1,Caracol Radio,National,"On 19 December 2018, inhabitants from La Tebaida (La Tebaida, Quindio) staged a protest in front of the facilities of Quindio's public companies to protest against the lack of water service for more than 2 weeks.",0,,1607554919
COL4717,5-Oct-18,2018,1,Demonstrations,Protests,Peaceful protest,Protesters (Colombia),,6,,,0,60,,170,South America,Colombia,Quindio,La Tebaida,,QUINDIO,LA TEBAIDA,La Tebaida,4.4537,-75.7865,1,Caracol Radio,National,"On 5 October 2018, inhabitants from La Tebaida (La Tebaida, Quindio) marched in silence in La Tebaida in rejection to the murder of a 24-year-old who was killed when he opposed to being robbed on 30 September 2018.",0,,1607554919
COL5803,18-Mar-21,2021,1,Demonstrations,Protests,Peaceful protest,Protesters (Colombia),Farmers (Colombia); Indigenous Group (Colombia); Afro-Colombian Ethnic Group (Colombia),6,,,0,60,,170,South America,Colombia,Narino,La Tola,,NARINO,LA TOLA,La Tola,2.3992,-78.1901,1,El Espectador,National,"On 18 March 2021, in La Tola, Narino department, farmers, indigenous people, and Afro-Colombian communities protested against aerial fumigation of coca fields. The group claimed previous agreements with the government included a voluntary substitution of illegal crops and only after the approval of the landowners. The group raised concerns over health issues in humans and animals caused by the use of glyphosate in populated areas.",0,crowd size=no report,1616441424
COL17231,18-Aug-22,2022,1,Demonstrations,Protests,Peaceful protest,Protesters (Colombia),Farmers (Colombia),6,,,0,60,,170,South America,Colombia,Sucre,La Union,,SUCRE,LA UNION,La Union,8.8565,-75.2771,1,El Tiempo (Colombia),National,"On 18 August 2022, in La Union (Sucre), farmers held a protest in front of the Agrarian Bank to demand the transfer of subsidies to deal with the damages and floods caused by the winter. They claimed that the previous Ivan Duque administration blocked the transfer of these subsidies.",0,crowd size=no report,1663006807
COL12055,23-May-22,2022,1,Demonstrations,Protests,Peaceful protest,Protesters (Colombia),,6,,,0,60,,170,South America,Colombia,Sucre,La Union,,SUCRE,LA UNION,La Union,8.8565,-75.2771,1,El Tiempo (Colombia),National,"On 23 May 2022, in La Union (Sucre), citizens protested against an increase in violent actions by the Gulf Clan. The group marched through the town to demand more security and the respect for civilians amid the armed conflict.",0,crowd size=no report,1660582461
COL9266,14-Nov-21,2021,1,Demonstrations,Protests,Peaceful protest,Protesters (Colombia),,6,,,0,60,,170,South America,Colombia,Antioquia,La Union,,ANTIOQUIA,LA UNION,La Union,5.9739,-75.3609,1,El Colombiano,Subnational,"On 14 November 2021, in La Union (Antioquia), citizens protested near the police station to demand an investigation into the death of a person detained inside the police station during a fire. Authorities claimed that the victim set fire to furniture, which caused the fire and his subsequent death, but the victim's relatives question this version of events.",0,crowd size=no report,1637619474
